reconciliation_status,match_id,tournament_id,season,match_date,home_team,away_team,score_source,matches_status,events_status,events_normal_home,events_normal_away
matched,9349490,55,20/21,2021-02-23,inverness-caledonian-thistle,alloa-athletic,events_raw_normaltime,finished,finished,2.0,2.0
matched,9361997,54,20/21,2021-03-20,kilmarnock,motherwell,events_raw_normaltime,finished,finished,4.0,1.0
matched,9362010,54,20/21,2021-03-13,livingston,hamilton-academical,events_raw_normaltime,finished,finished,2.0,1.0
matched,9362012,54,20/21,2021-03-13,ross-county,hibernian,events_raw_normaltime,finished,finished,1.0,2.0
matched,9363667,55,20/21,2021-03-02,dundee-fc,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,2.0,1.0
matched,9363671,55,20/21,2021-03-09,raith-rovers,ayr-united,events_raw_normaltime,finished,finished,0.0,0.0
matched,9363672,55,20/21,2021-03-09,inverness-caledonian-thistle,greenock-morton,events_raw_normaltime,finished,finished,0.0,1.0
matched,9388324,55,20/21,2021-03-16,dundee-fc,ayr-united,events_raw_normaltime,finished,finished,1.0,3.0
matched,9398639,55,20/21,2021-03-30,raith-rovers,dunfermline-athletic,events_raw_normaltime,finished,finished,5.0,1.0
matched,9398640,55,20/21,2021-03-16,raith-rovers,inverness-caledonian-thistle,events_raw_normaltime,finished,finished,0.0,1.0
matched,9398797,56,20/21,2021-03-20,dumbarton,forfar-athletic,events_raw_normaltime,finished,finished,0.0,1.0
matched,9398799,56,20/21,2021-03-20,clyde-fc,east-fife,events_raw_normaltime,finished,finished,1.0,3.0
matched,9398848,56,20/21,2021-03-20,peterhead,airdrieonians,events_raw_normaltime,finished,finished,1.0,0.0
matched,9398850,56,20/21,2021-03-27,airdrieonians,partick-thistle,events_raw_normaltime,finished,finished,2.0,4.0
matched,9398851,56,20/21,2021-03-27,dumbarton,peterhead,events_raw_normaltime,finished,finished,0.0,1.0
matched,9398852,56,20/21,2021-03-20,falkirk-fc,montrose,events_raw_normaltime,finished,finished,2.0,0.0
matched,9398853,56,20/21,2021-03-27,forfar-athletic,falkirk-fc,events_raw_normaltime,finished,finished,0.0,2.0
matched,9398854,56,20/21,2021-03-27,montrose,clyde-fc,events_raw_normaltime,finished,finished,2.0,2.0
matched,9398855,56,20/21,2021-03-27,east-fife,cove-rangers,events_raw_normaltime,finished,finished,0.0,0.0
matched,9398868,57,20/21,2021-03-20,annan-athletic,cowdenbeath,events_raw_normaltime,finished,finished,0.0,0.0
matched,9398869,57,20/21,2021-03-20,queens-park-fc,stranraer,events_raw_normaltime,finished,finished,3.0,0.0
matched,9398874,57,20/21,2021-03-20,stenhousemuir,albion-rovers,events_raw_normaltime,finished,finished,2.0,0.0
matched,9398877,57,20/21,2021-03-23,albion-rovers,edinburgh-city-fc,events_raw_normaltime,finished,finished,1.0,2.0
matched,9398878,57,20/21,2021-03-23,stranraer,brechin-city,events_raw_normaltime,finished,finished,2.0,0.0
matched,9398879,57,20/21,2021-03-20,stirling-albion,brechin-city,events_raw_normaltime,finished,finished,1.0,0.0
matched,9398900,57,20/21,2021-03-27,albion-rovers,annan-athletic,events_raw_normaltime,finished,finished,1.0,1.0
matched,9398901,57,20/21,2021-03-27,brechin-city,queens-park-fc,events_raw_normaltime,finished,finished,0.0,2.0
matched,9398908,57,20/21,2021-03-27,cowdenbeath,stranraer,events_raw_normaltime,finished,finished,1.0,0.0
matched,9398946,57,20/21,2021-03-27,elgin-city,stirling-albion,events_raw_normaltime,finished,finished,1.0,1.0
matched,9400336,57,20/21,2021-03-20,elgin-city,edinburgh-city-fc,events_raw_normaltime,finished,finished,1.0,2.0
matched,9400352,56,20/21,2021-03-20,partick-thistle,cove-rangers,events_raw_normaltime,finished,finished,1.0,1.0
matched,9412789,57,20/21,2021-03-27,edinburgh-city-fc,stenhousemuir,events_raw_normaltime,finished,finished,3.0,1.0
matched,9422569,57,20/21,2021-03-30,cowdenbeath,edinburgh-city-fc,events_raw_normaltime,finished,finished,1.0,3.0
matched,9422570,56,20/21,2021-03-30,montrose,east-fife,events_raw_normaltime,finished,finished,3.0,0.0
matched,9422571,57,20/21,2021-03-30,albion-rovers,queens-park-fc,events_raw_normaltime,finished,finished,0.0,3.0
matched,9422572,57,20/21,2021-03-30,brechin-city,elgin-city,events_raw_normaltime,finished,finished,1.0,2.0
matched,9422573,56,20/21,2021-03-30,falkirk-fc,dumbarton,events_raw_normaltime,finished,finished,1.0,1.0
matched,9422574,56,20/21,2021-03-30,partick-thistle,forfar-athletic,events_raw_normaltime,finished,finished,2.0,2.0
matched,9422575,56,20/21,2021-03-30,cove-rangers,airdrieonians,events_raw_normaltime,finished,finished,2.0,0.0
matched,9422584,57,20/21,2021-03-30,stirling-albion,stenhousemuir,events_raw_normaltime,finished,finished,1.0,0.0
matched,9422585,56,20/21,2021-03-30,peterhead,clyde-fc,events_raw_normaltime,finished,finished,0.0,2.0
matched,9424877,56,20/21,2021-04-01,dumbarton,airdrieonians,events_raw_normaltime,finished,finished,0.0,1.0
matched,9424878,56,20/21,2021-04-01,east-fife,clyde-fc,events_raw_normaltime,finished,finished,1.0,0.0
matched,9424879,56,20/21,2021-04-06,dumbarton,montrose,events_raw_normaltime,finished,finished,0.0,0.0
matched,9424880,56,20/21,2021-04-06,airdrieonians,falkirk-fc,events_raw_normaltime,finished,finished,2.0,1.0
matched,9424881,56,20/21,2021-04-06,clyde-fc,cove-rangers,events_raw_normaltime,finished,finished,1.0,1.0
matched,9424882,56,20/21,2021-04-06,east-fife,partick-thistle,events_raw_normaltime,finished,finished,2.0,2.0
matched,9424883,56,20/21,2021-04-06,forfar-athletic,peterhead,events_raw_normaltime,finished,finished,1.0,1.0
matched,9424884,57,20/21,2021-04-03,annan-athletic,elgin-city,events_raw_normaltime,finished,finished,0.0,3.0
matched,9424885,57,20/21,2021-04-03,cowdenbeath,albion-rovers,events_raw_normaltime,finished,finished,0.0,1.0
matched,9424886,57,20/21,2021-04-03,queens-park-fc,stirling-albion,events_raw_normaltime,finished,finished,1.0,0.0
matched,9424887,57,20/21,2021-04-06,elgin-city,stranraer,events_raw_normaltime,finished,finished,2.0,1.0
matched,9424888,57,20/21,2021-04-06,edinburgh-city-fc,annan-athletic,events_raw_normaltime,finished,finished,1.0,1.0
matched,9424896,57,20/21,2021-04-06,brechin-city,stenhousemuir,events_raw_normaltime,finished,finished,1.0,1.0
matched,9424898,57,20/21,2021-04-06,queens-park-fc,cowdenbeath,events_raw_normaltime,finished,finished,3.0,0.0
matched,9424907,57,20/21,2021-04-06,stirling-albion,albion-rovers,events_raw_normaltime,finished,finished,1.0,1.0
matched,9431707,56,20/21,2021-04-10,peterhead,partick-thistle,events_raw_normaltime,finished,finished,0.0,3.0
matched,9431708,56,20/21,2021-04-10,cove-rangers,dumbarton,events_raw_normaltime,finished,finished,1.0,0.0
matched,9431709,56,20/21,2021-04-10,montrose,airdrieonians,events_raw_normaltime,finished,finished,2.0,2.0
matched,9431710,56,20/21,2021-04-10,forfar-athletic,east-fife,events_raw_normaltime,finished,finished,1.0,2.0
matched,9431711,56,20/21,2021-04-10,falkirk-fc,clyde-fc,events_raw_normaltime,finished,finished,2.0,1.0
