club,match_id,match_date,season,current_tier,previous_observed_tier,home_entry_match_number,window,home_score,away_score,goal_difference,method_note
rangers,9574414,2022-02-06,21/22,54,54,19,11-20,5.0,0.0,5.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
rangers,9574489,2022-02-09,21/22,54,54,20,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736162,2021-01-02,20/21,54,,1,1-5,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736289,2021-01-10,20/21,54,54,2,1-5,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736278,2021-01-23,20/21,54,54,3,1-5,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736282,2021-02-02,20/21,54,54,4,1-5,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736314,2021-02-13,20/21,54,54,5,1-5,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736279,2021-02-20,20/21,54,54,6,6-10,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,8736280,2021-03-06,20/21,54,54,7,6-10,0.0,0.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9573901,2021-08-01,21/22,54,54,8,6-10,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9573873,2021-08-29,21/22,54,54,9,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9573894,2021-09-18,21/22,54,54,10,6-10,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9573892,2021-10-03,21/22,54,54,11,11-20,1.0,2.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574227,2021-10-23,21/22,54,54,12,11-20,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574327,2021-10-30,21/22,54,54,13,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574093,2021-11-06,21/22,54,54,14,11-20,0.0,2.0,-2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574347,2021-12-01,21/22,54,54,15,11-20,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574073,2021-12-04,21/22,54,54,16,11-20,4.0,1.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9573765,2021-12-26,21/22,54,54,17,11-20,2.0,1.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,10035825,2022-01-18,21/22,54,54,18,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,9574257,2022-02-09,21/22,54,54,19,11-20,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
aberdeen,10116344,2022-02-15,21/22,54,54,20,11-20,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736168,2021-01-02,20/21,54,,1,1-5,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736286,2021-01-09,20/21,54,54,2,1-5,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736295,2021-01-30,20/21,54,54,3,1-5,2.0,3.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736316,2021-02-02,20/21,54,54,4,1-5,0.0,4.0,-4.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736246,2021-02-10,20/21,54,54,5,1-5,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,8736271,2021-02-27,20/21,54,54,6,6-10,1.0,1.0,0.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9361997,2021-03-20,20/21,54,54,7,6-10,4.0,1.0,3.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573825,2021-08-02,21/22,55,54,1,1-5,2.0,0.0,2.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573899,2021-08-28,21/22,55,55,2,1-5,0.0,1.0,-1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
kilmarnock,9573847,2021-09-11,21/22,55,55,3,1-5,1.0,0.0,1.0,"home fixtures only; tier-change candidate, not verified promotion/relegation"
