club,season,previous_observed_season,previous_tier,current_tier,movement_direction,match_id,match_date,opponent,is_home,new_season_match_number,window,matches_observed_in_new_season,tier_season_observed_fixtures,tier_season_expected_fixtures,tier_season_fixture_coverage,tier_season_archive_complete,has_complete_20_match_window,goals_for,goals_against,goal_difference,win,market_team_probability,bbc_shot_difference,bbc_proxy_xg_difference,transition_definition
dundee-united,23/24,22/23,54,55,downward_tier_move,11395794,2023-11-10,dunfermline-athletic,0,13,11-20,36,178,180,0.989,0,1,2.0,1.0,1.0,1,0.548628,10.000,1.137,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395783,2023-12-09,ayr-united,1,14,11-20,36,178,180,0.989,0,1,1.0,0.0,1.0,1,0.772096,9.000,1.788,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395775,2023-12-16,raith-rovers,1,15,11-20,36,178,180,0.989,0,1,0.0,1.0,-1.0,0,0.530130,8.000,0.794,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395768,2023-12-22,queens-park-fc,0,16,11-20,36,178,180,0.989,0,1,0.0,0.0,0.0,0,0.667066,11.000,1.271,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395763,2023-12-29,partick-thistle,1,17,11-20,36,178,180,0.989,0,1,3.0,0.0,3.0,1,0.650113,16.000,2.753,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395761,2024-01-02,arbroath,0,18,11-20,36,178,180,0.989,0,1,3.0,0.0,3.0,1,0.818043,9.000,1.288,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395754,2024-01-06,greenock-morton,1,19,11-20,36,178,180,0.989,0,1,2.0,3.0,-1.0,0,0.713165,2.000,0.348,consecutive observed seasons changed tier; mechanism unverified
dundee-united,23/24,22/23,54,55,downward_tier_move,11395749,2024-01-12,inverness-caledonian-thistle,0,20,11-20,36,178,180,0.989,0,1,1.0,0.0,1.0,1,0.615337,-3.000,-0.706,consecutive observed seasons changed tier; mechanism unverified
dundee-united,24/25,23/24,55,54,upward_tier_move,12477145,2024-08-04,dundee-fc,1,1,1-5,33,198,228,0.868,0,1,2.0,2.0,0.0,0,0.391924,1.000,-0.731,consecutive observed seasons changed tier; mechanism unverified
dundee-united,24/25,23/24,55,54,upward_tier_move,12477122,2024-08-10,ross-county,0,2,1-5,33,198,228,0.868,0,1,1.0,1.0,0.0,0,0.437201,-9.000,-1.841,consecutive observed seasons changed tier; mechanism unverified
dundee-united,24/25,23/24,55,54,upward_tier_move,12477118,2024-08-24,st-johnstone,1,3,1-5,33,198,228,0.868,0,1,2.0,0.0,2.0,1,0.553280,-7.000,-0.300,consecutive observed seasons changed tier; mechanism unverified
dundee-united,24/25,23/24,55,54,upward_tier_move,12477114,2024-09-01,heart-of-midlothian,0,4,1-5,33,198,228,0.868,0,1,1.0,0.0,1.0,1,0.228500,-2.000,0.029,consecutive observed seasons changed tier; mechanism unverified
