portfolio_run_id,analysis_side,club,match_id,kickoff_date,movement_direction,window,selection,odds_close,stake_amount,pnl
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476724,2024-12-07,upward_tier_move,11-20,away,3.627352696802351,0.7114676630222663,-0.7114676630222663
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476724,2024-12-07,upward_tier_move,11-20,home,2.203416360650823,2.1918092007521244,2.584905870577908
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476727,2024-12-07,downward_tier_move,11-20,away,2.598271513663881,2.707183884696675,4.240278587457408
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476561,2024-12-14,downward_tier_move,11-20,away,4.069413173377843,14.26839689873026,42.91969329586728
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,arbroath,12476720,2024-12-14,downward_tier_move,11-20,away,4.032271636508509,4.3256025267725,12.854073815686954
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476720,2024-12-14,downward_tier_move,11-20,home,2.2778069922147024,1.5215501631657902,-1.5215501631657902
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476723,2024-12-14,upward_tier_move,11-20,away,2.7290958456783785,10.65131923418423,-10.65131923418423
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,edinburgh-city-fc,12476551,2024-12-21,downward_tier_move,11-20,home,3.104061558446785,4.111308555084937,8.47743735995426
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476717,2024-12-21,upward_tier_move,11-20,away,3.6150552369181668,15.243645176595424,39.06571466580265
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,inverness-caledonian-thistle,12476726,2024-12-21,downward_tier_move,11-20,away,2.9750566965215577,0.6870911894910083,1.329903173826675
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476726,2024-12-21,upward_tier_move,11-20,home,2.8305218334770075,12.353445771408344,-12.353445771408344
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476553,2024-12-28,downward_tier_move,11-20,away,4.1501426270129675,11.279820366758756,-11.279820366758756
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476712,2024-12-28,upward_tier_move,11-20,home,2.7411201539406207,2.044899667204711,3.4892077028894586
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stenhousemuir,12476715,2024-12-28,upward_tier_move,11-20,away,3.725067140178423,33.50605978056372,89.4801372547707
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,stirling-albion,12476545,2025-01-04,downward_tier_move,11-20,away,3.4734027954126456,2.942270287990372,-2.942270287990372
a7c4c55b-f8d2-416e-ba85-9c7fe9bedc1a,transitioning_team,dumbarton,12476708,2025-01-04,upward_tier_move,11-20,away,5.220386644838837,17.487541876476467,-17.487541876476467
