club,analysis_side,match_id,match_date,movement_direction,window,stake_fraction,stake,pnl,counterfactual
hamilton-academical,transitioning_team,14035530,2025-10-18,downward_tier_move,6-10,0.020556,2.0556,2.5785,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035531,2025-10-18,upward_tier_move,6-10,0.011874,1.1874,1.6058,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035532,2025-10-24,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035533,2025-10-25,upward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035535,2025-10-25,upward_tier_move,11-20,0.047489,4.7489,-4.7489,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035538,2025-11-01,upward_tier_move,11-20,0.021035,2.1035,3.5869,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035539,2025-11-01,downward_tier_move,11-20,0.006834,0.6834,-0.6834,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035539,2025-11-01,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035712,2025-11-01,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035714,2025-11-01,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035541,2025-11-08,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035541,2025-11-08,upward_tier_move,11-20,0.033611,3.3611,-3.3611,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035545,2025-11-08,upward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035718,2025-11-08,downward_tier_move,11-20,0.014570,1.4570,-1.4570,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035718,2025-11-08,downward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
peterhead,transitioning_team,14035549,2025-11-15,upward_tier_move,11-20,0.010861,1.0861,-1.0861,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
east-fife,transitioning_team,14035554,2025-11-15,upward_tier_move,11-20,0.000000,0.0000,0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
hamilton-academical,transitioning_team,14035555,2025-11-15,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
annan-athletic,transitioning_team,14035721,2025-11-15,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
dumbarton,transitioning_team,14035722,2025-11-15,downward_tier_move,11-20,0.000000,0.0000,-0.0000,independent 100-unit capital per clubside; archive snapshot; 2% commission; no portfolio return
