lambda,fold,sd_rating,sd_rating_exposed,sd_delta_lineup
2000.0,15,0.030554029120796883,0.03531936591577568,0.15099926062645191
2000.0,16,0.030554029120796883,0.03531936591577568,0.12537898128950142
2000.0,17,0.030554029120796883,0.03531936591577568,0.1820578732034859
2000.0,18,0.030554029120796883,0.03531936591577568,0.19995547301641442
2000.0,19,0.030554029120796883,0.03531936591577568,0.15346279277927793
2000.0,20,0.030554029120796883,0.03531936591577568,0.12891875980689696
2000.0,21,0.029628624415495713,0.03443375537584959,0.2576067160441894
2000.0,22,0.029628624415495713,0.03443375537584959,0.2935582590759262
2000.0,23,0.029628624415495713,0.03443375537584959,0.28522737003314697
2000.0,24,0.029628624415495713,0.03443375537584959,0.25705658379866675
2000.0,25,0.029628624415495713,0.03443375537584959,0.269549164672547
2000.0,26,0.029628624415495713,0.03443375537584959,0.2307308407766725
2000.0,27,0.029628624415495713,0.03443375537584959,0.2988812515804834
2000.0,28,0.029628624415495713,0.03443375537584959,0.2953150337133801
2000.0,29,0.029628624415495713,0.03443375537584959,0.30263289566295426
2000.0,30,0.029628624415495713,0.03443375537584959,0.2695348123171351
2000.0,31,0.029628624415495713,0.03443375537584959,0.30171660543432316
2000.0,32,0.029628624415495713,0.03443375537584959,0.16900208586134027
2000.0,33,0.029628624415495713,0.03443375537584959,0.23127743504926176
2000.0,34,0.029628624415495713,0.03443375537584959,0.2163444912443676
2000.0,35,0.029628624415495713,0.03443375537584959,0.2863335469655091
2000.0,36,0.029628624415495713,0.03443375537584959,0.22094038974962088
2000.0,37,0.029628624415495713,0.03443375537584959,0.2629666485656636
2000.0,38,0.029628624415495713,0.03443375537584959,0.17504380262590938
2000.0,39,0.029628624415495713,0.03443375537584959,0.21566381593802408
2000.0,40,0.029628624415495713,0.03443375537584959,0.2542936232294909
