model,match_id,reason
m03_negbin_pxg_covariate,12476706,no usable selection
m03_negbin_pxg_covariate,13255608,no usable selection
m03_negbin_pxg_covariate,12473327,no usable selection
m03_negbin_pxg_covariate,14035515,no usable selection
m03_negbin_pxg_covariate,14035695,no usable selection
m03_negbin_pxg_covariate,14035533,no usable selection
m03_negbin_pxg_covariate,14035717,no usable selection
m03_negbin_pxg_covariate,14035558,no usable selection
m03_negbin_pxg_covariate,14035743,no usable selection
m03_negbin_pxg_covariate,14035609,no usable selection
m03_negbin_pxg_covariate,14035807,no usable selection
m03_negbin_pxg_covariate,14035646,no usable selection
