model,config,rep,chain,seed,thread,start_s,stop_s,elapsed_s,status,mean_concurrency,mean_tree_depth,mean_leapfrog,step_size,mean_acceptance,n_divergent
m00_recombined_control,C,4,2,20264912,17,7752.489226102829,9337.750169992447,1585.260943889618,ok,15.999993393057325,4.996,31.0,0.16939372288981963,0.9484227993995715,0
m01_decomposed_baseline,B,4,2,20264912,15,7833.499073982239,9357.34719491005,1523.8481209278107,ok,15.999993099253327,5.006,31.896,0.11022189561831082,0.987598759580581,0
m00_recombined_control,B,4,2,20264912,7,8078.957727909088,9706.880596876144,1627.9228689670563,ok,15.999993251028553,5.0,31.0,0.15658108572670534,0.9649639907288873,0
m01_decomposed_baseline,A,4,2,20264912,8,8089.398658037186,10506.604484081268,2417.2058260440826,ok,14.846454154046171,5.0,31.0,0.15203038512149553,0.9744612271103118,0
m00_recombined_control,A,4,2,20264912,9,8144.891424894333,10598.913275003433,2454.0218501091003,ok,14.569589937943851,4.999,31.0,0.13743570053233584,0.9744246241173048,0
m01_decomposed_baseline,C,4,2,20264912,4,8243.799282073975,9625.690077066422,1381.890794992447,ok,15.999993424510157,4.334,28.984,0.20846209867005322,0.9238775103186103,0
m01_decomposed_baseline,B,4,3,20264913,13,8345.610074043274,9788.521156072617,1442.9110820293427,ok,15.999993119638654,4.694,29.24,0.19242378956081624,0.9626071013018168,0
m00_recombined_control,A,4,3,20264913,11,8635.974608898163,10612.080883026123,1976.1062741279602,ok,14.15063528673411,4.988,30.824,0.1698084541788265,0.9563579870035276,0
m01_decomposed_baseline,A,4,3,20264913,6,8664.371959924698,10636.888936042786,1972.5169761180878,ok,13.988576908420809,4.701,30.904,0.19303456193178925,0.95470778129605,0
m01_decomposed_baseline,C,4,3,20264913,3,8667.502434015274,10154.977772951126,1487.475338935852,ok,15.399653546239422,4.466,32.152,0.20581017911293564,0.9568464004498544,0
m00_recombined_control,B,4,3,20264913,16,8816.559506893158,10206.88807106018,1390.3285641670227,ok,15.208358939939538,4.846,30.136,0.18680679260346872,0.9568583627260473,0
m00_recombined_control,C,4,3,20264913,12,9097.794482946396,10317.47354888916,1219.6790659427643,ok,14.644263235569017,4.89,29.976,0.18566624339109003,0.9485820327941993,0
m01_decomposed_baseline,A,4,4,20264914,10,9295.170352935791,10706.171366930008,1411.001013994217,ok,12.500701321940026,4.999,31.0,0.16368626431117306,0.9707234795560304,0
m00_recombined_control,A,4,4,20264914,17,9337.750751018524,10712.227569103241,1374.4768180847168,ok,12.341621503962145,4.992,30.904,0.17042722528868448,0.9519488424189204,0
m00_recombined_control,B,4,4,20264914,15,9357.347856998444,10525.002723932266,1167.6548669338226,ok,13.501714376190543,5.0,31.0,0.14286145670761666,0.9782584957668159,0
m00_recombined_control,C,4,4,20264914,4,9625.690524101257,10599.471687078476,973.7811629772186,ok,12.389505376049627,4.13,21.884,0.2123771618948008,0.93053030981762,1
m01_decomposed_baseline,B,4,4,20264914,7,9706.881097078323,10621.560121059418,914.6790239810944,ok,11.880212548164053,4.0,15.0,0.24313586631018275,0.931103814967601,0
m01_decomposed_baseline,C,4,4,20264914,2,9728.191577911377,10597.085071086884,868.8934931755066,ok,11.979032282796206,4.0,15.0,0.23343228626947382,0.9341459233577435,0
