model,environment,variant,route,run_id,t012_mode,lambda,beta,nominal_floor,nominal_drawdown_pct,n_panel,n_slates,n_bets,terminal_return_pct,cagr_pct,roi_pct,sharpe_ann,sortino,calmar,max_drawdown_pct,realised_drawdown_pct,win_rate_pct,total_turnover,mean_slate_exposure,max_slate_exposure,mean_k_risk,n_capped,overshoot_ratio,pareto_drawdown_sharpe,pareto_all_metrics
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,628,100,1188,109.91899910363179,53.713968210545325,16.635054085164615,1.7436092768199922,0.29011804288059256,6.436176172293212,-17.078308014130634,17.078308014130634,31.64983164983165,4.790621183455436,0.04790621183455435,0.14306012026119502,0.2802490752882996,0,1.126113305370685,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,628,100,1188,83.21155136492,42.052881092819106,16.6351374313884,1.7631939710884756,0.2955975287483022,5.979236995691672,-13.916750820360177,13.916750820360177,31.64983164983165,3.856459122860827,0.038564591228608266,0.11522799186403655,0.22756311854719932,0,1.1288036579855565,false,true
m05_joint_grw_smile_spine_w040,close,raw,native_smile,582035c0-e145-44f7-9f40-89e25388e79a,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,628,100,1188,61.54260006433916,32.055625808829305,16.635192871347428,1.7807089634723419,0.300584652963141,5.592615118275309,-11.004261649122407,11.004261649122407,31.64983164983165,3.016216418724242,0.030162164187242407,0.09016685702207228,0.18016931665725935,0,1.13125487325915,true,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,8.0,0.01,0.5623413251903491,43.76586748096509,594,99,977,266.31775988401836,112.27721120181262,18.02557447105221,1.973580138158978,0.3441071471995283,12.697312555044878,-20.974340729937012,20.974340729937012,36.23336745138178,7.9548204761260655,0.08035172198107138,0.25,0.8649750529190415,1,0.4792396892180715,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,10.0,0.01,0.6309573444801932,36.90426555198067,594,99,977,194.8506154723828,87.179107610258,17.998690326631298,2.00024308674304,0.3528594459749223,11.22784366055274,-17.35423304449453,17.35423304449453,36.23336745138178,6.515416953561414,0.06581229246021629,0.20668988932798518,0.7135352358889367,0,0.47025005876490394,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,12.0,0.01,0.6812920690579612,31.870793094203876,594,99,977,152.20704870401792,70.97142490009244,17.98581757473913,2.018921859238208,0.35896961188089344,10.285946930155543,-14.797572818287549,14.797572818287549,36.23336745138178,5.50798760058249,0.05563623838972211,0.17475109298600675,0.6063826586551873,0,0.46429885740680493,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,15.0,0.01,0.7356422544596414,26.435774554035863,594,99,977,113.8598609889653,55.380451939171984,17.97250397826364,2.037996541871618,0.36532907902337386,9.396063468032331,-12.117825872115906,12.117825872115906,36.23336745138178,4.470955072630967,0.04516116234980775,0.14186543521732958,0.49606288292094763,0,0.4583873964935867,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,18.0,0.01,0.7742636826811271,22.57363173188729,594,99,977,90.60904657325585,45.35050144917578,17.963372266312394,2.0509386314669675,0.3697153424522172,8.832096065878009,-10.259064880794897,10.259064880794897,36.23336745138178,3.7625227998834565,0.038005280806903616,0.11939549005844832,0.4206883624367587,0,0.4544711725009247,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,20.0,0.01,0.7943282347242815,20.567176527571853,594,99,977,79.65889613464417,40.449332204723156,17.95872700111486,2.0574786635507154,0.37195441246700395,8.558955774255342,-9.307081171543356,9.307081171543356,36.23336745138178,3.4030355679996123,0.034374096646460746,0.10799194861998018,0.38243664070657735,0,0.45252109151037384,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,23.0,0.01,0.8185467307069029,18.145326929309714,594,99,977,67.36644249393369,34.79519424709885,17.953204703771064,2.065215552270336,0.3746231838130822,8.245854148106233,-8.169734909682495,8.169734909682495,36.23336745138178,2.9764544398442454,0.03006519636206308,0.09445890498651935,0.3370424501082089,0,0.4502390583266988,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,28.0,0.01,0.848342898244072,15.165710175592794,594,99,977,53.50817198775144,28.20706348036626,17.94653115153464,2.0745108027989008,0.37785857279864743,7.8837415526011405,-6.787154504081516,6.787154504081516,36.23336745138178,2.4620664563952017,0.024869358145406074,0.07813859437154189,0.2822995923884616,0,0.4475329163948118,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,35.0,0.01,0.8767123872968682,12.328761270313182,594,99,977,41.485803868691605,22.286236315771426,17.94029393932006,2.0831446941086296,0.3808927319701153,7.560795530312433,-5.486962807335341,5.486962807335341,36.23336745138178,1.9824197370037662,0.020024441787916833,0.06291897101500511,0.23124919069542796,0,0.4450538612137437,false,true
m05_joint_grw_baseline,t25,l2_calibrated,native_count,b0961bc4-c40c-4dbe-9c05-57df7ae0839e,excise_pruned,45.0,0.01,0.9027251779484575,9.727482205154248,594,99,977,31.36982418662908,17.13838864992121,17.93466952469371,2.0908862294740698,0.38363747580358604,7.281922011468374,-4.307904442978711,4.307904442978711,36.23336745138178,1.5508133802305395,0.015664781618490303,0.049222457243425284,0.18530782013259406,0,0.4428591440338082,true,true
