match_id,tournament_id,match_date,bbc_home_shots,bbc_away_shots
11395650,56,2023-08-26,6,14
11395643,56,2023-09-02,8,17
11395648,56,2023-09-02,10,9
11395645,56,2023-09-02,2,28
11395646,56,2023-09-02,6,11
11395644,56,2023-09-02,10,6
11395640,56,2023-09-16,11,4
11395639,56,2023-09-16,15,9
11395642,56,2023-09-16,14,11
11395638,56,2023-09-16,15,14
11395641,56,2023-09-16,7,5
11395634,56,2023-09-23,5,4
11395636,56,2023-09-23,12,17
11395633,56,2023-09-23,7,16
11395637,56,2023-09-23,15,8
11395629,56,2023-09-29,16,2
11395631,56,2023-09-30,21,10
11395632,56,2023-09-30,14,6
11395635,56,2023-09-23,2,22
11395628,56,2023-09-30,11,9
11395630,56,2023-09-30,8,14
11395627,56,2023-10-07,15,8
11395626,56,2023-10-07,10,17
11395622,56,2023-10-07,10,13
11395623,56,2023-10-07,7,12
11395624,56,2023-10-07,9,7
11395621,56,2023-10-21,9,7
11395618,56,2023-10-21,2,16
11395619,56,2023-10-21,16,7
11395614,56,2023-10-28,21,3
11395620,56,2023-10-21,16,9
11395617,56,2023-10-28,5,12
11395616,56,2023-10-28,7,6
11395615,56,2023-10-28,7,13
11395611,56,2023-11-04,5,13
11395613,56,2023-10-28,10,12
11395609,56,2023-11-04,10,15
11395608,56,2023-11-04,8,14
11395610,56,2023-11-04,4,13
11395606,56,2023-11-11,18,6
11395605,56,2023-11-11,17,2
11395612,56,2023-11-04,7,8
11395607,56,2023-11-11,8,7
11395604,56,2023-11-11,10,13
11395602,56,2023-11-11,15,12
11395599,56,2023-11-18,8,6
11777618,56,2023-11-14,7,6
11777072,56,2023-11-28,5,10
11395600,56,2023-11-18,10,14
11395597,56,2023-11-18,11,11
11788194,56,2023-11-28,9,17
11395595,56,2023-12-02,20,5
11395592,56,2023-12-09,8,10
11395589,56,2023-12-09,21,3
11395591,56,2023-12-09,11,8
11395587,56,2023-12-09,6,12
11395590,56,2023-12-09,7,18
11395588,56,2023-12-16,5,7
11395586,56,2023-12-16,9,9
11395584,56,2023-12-16,16,4
11395583,56,2023-12-16,12,8
11395581,56,2023-12-23,2,16
11395585,56,2023-12-16,6,7
11395577,56,2023-12-23,8,16
11395578,56,2023-12-23,11,5
11395576,56,2023-12-30,14,2
11395582,56,2023-12-23,12,5
11395579,56,2023-12-30,5,23
11395580,56,2023-12-23,21,7
11395575,56,2023-12-30,9,11
11395567,56,2024-01-06,15,1
11395572,56,2024-01-06,9,6
11395570,56,2024-01-06,10,4
11395573,56,2024-01-06,10,9
11395571,56,2023-12-30,7,7
11883582,56,2024-01-09,16,2
11395565,56,2024-01-13,10,17
11395564,56,2024-01-13,9,9
11395566,56,2024-01-13,6,2
11395563,56,2024-01-13,10,6
11395569,56,2024-01-13,8,25
11395562,56,2024-01-27,4,22
11395559,56,2024-01-27,5,3
11395561,56,2024-01-27,16,6
11395560,56,2024-01-27,4,6
11395558,56,2024-01-27,13,8
11395553,56,2024-02-03,10,13
11395552,56,2024-02-03,13,9
11395557,56,2024-02-03,9,13
11999558,56,2024-02-06,4,11
11395556,56,2024-02-03,11,14
11395547,56,2024-02-10,19,8
11395551,56,2024-02-10,8,6
11395546,56,2024-02-10,15,13
11395554,56,2024-02-10,4,9
11975829,56,2024-02-13,15,14
11887849,56,2024-02-13,11,11
11395548,56,2024-02-17,13,13
10387977,56,2022-07-30,14,14
11395543,56,2024-02-17,6,12
11395549,56,2024-02-17,7,8
11395544,56,2024-02-17,13,11
12005634,56,2024-02-20,16,5
11395545,56,2024-02-17,12,5
11395540,56,2024-02-24,4,12
11395541,56,2024-02-24,18,13
11395542,56,2024-02-24,10,6
11395538,56,2024-02-24,18,4
11395539,56,2024-02-24,6,9
12009065,56,2024-02-27,7,13
11395535,56,2024-03-02,6,13
11395534,56,2024-03-02,19,5
11395537,56,2024-03-02,14,13
11395533,56,2024-03-02,7,6
11395536,56,2024-03-02,14,13
11395528,56,2024-03-09,11,12
12028347,56,2024-03-05,2,13
11395529,56,2024-03-09,10,9
11395532,56,2024-03-09,17,5
11395530,56,2024-03-09,9,10
11395531,56,2024-03-09,10,9
11395527,56,2024-03-16,10,9
11395522,56,2024-03-16,11,5
11395524,56,2024-03-16,13,8
11395525,56,2024-03-16,11,12
11395526,56,2024-03-16,12,15
12009067,56,2024-03-19,17,3
11395521,56,2024-03-23,19,7
11395518,56,2024-03-23,12,14
11395523,56,2024-03-23,6,11
11395520,56,2024-03-23,8,10
11395515,56,2024-03-30,8,9
11395514,56,2024-03-30,10,10
11395517,56,2024-03-23,11,4
11395519,56,2024-03-30,12,7
11395513,56,2024-03-30,5,5
11395508,56,2024-04-06,12,9
11395516,56,2024-03-30,4,17
11395512,56,2024-04-06,13,9
11395509,56,2024-04-06,7,14
11395510,56,2024-04-06,19,7
11395503,56,2024-04-13,17,9
11395504,56,2024-04-13,9,9
11395505,56,2024-04-13,7,12
11395506,56,2024-04-13,5,7
11395501,56,2024-04-20,8,15
11395499,56,2024-04-20,10,16
12236466,56,2024-04-16,12,6
11395500,56,2024-04-20,5,15
11395496,56,2024-04-27,5,12
11395497,56,2024-04-20,10,10
11395498,56,2024-04-27,9,8
11395494,56,2024-04-27,15,4
11395502,56,2024-04-20,11,9
11395495,56,2024-04-27,11,17
11395493,56,2024-04-27,11,7
11395488,56,2024-05-04,15,5
11395489,56,2024-05-04,24,7
11395491,56,2024-05-04,19,12
11395492,56,2024-05-04,17,5
11395490,56,2024-05-04,9,11
10387835,56,2022-07-30,11,11
10387841,56,2022-07-30,10,4
10387836,56,2022-07-30,9,18
10387816,56,2022-07-30,11,13
10387837,56,2022-08-06,15,12
10387831,56,2022-08-06,7,10
10387882,56,2022-08-06,1,25
10387827,56,2022-08-06,10,6
10387830,56,2022-08-06,12,13
10387854,56,2022-08-13,12,8
10387853,56,2022-08-13,11,13
10387863,56,2022-08-13,8,5
10387840,56,2022-08-13,18,12
10387845,56,2022-08-13,24,4
10387847,56,2022-08-20,10,17
10387851,56,2022-08-20,4,8
10387842,56,2022-08-20,20,4
10387866,56,2022-08-20,12,6
10387872,56,2022-08-20,4,10
10387865,56,2022-08-27,11,7
10387855,56,2022-08-27,12,12
10387962,56,2022-08-27,9,15
10387858,56,2022-08-27,14,8
10388169,56,2022-08-27,12,3
10387874,56,2022-09-03,9,9
10387860,56,2022-09-03,10,14
10387877,56,2022-09-03,9,9
10387876,56,2022-09-03,13,9
10387891,56,2022-09-03,5,14
10387909,56,2022-09-17,13,10
10388163,56,2022-09-17,6,13
10387888,56,2022-09-17,17,1
10387932,56,2022-10-01,11,8
10387935,56,2022-09-17,9,10
10387926,56,2022-09-17,19,10
10387937,56,2022-10-01,10,13
10387889,56,2022-10-01,16,4
10387886,56,2022-10-01,21,8
10698042,56,2022-10-04,12,24
10717735,56,2022-10-05,16,8
10387903,56,2022-10-01,13,3
10387925,56,2022-10-08,3,16
10387900,56,2022-10-08,8,11
10387892,56,2022-10-08,10,5
10387956,56,2022-10-08,5,13
10387958,56,2022-10-08,10,10
10698037,56,2022-10-11,6,8
10387902,56,2022-10-15,15,6
10387897,56,2022-10-15,10,9
10387972,56,2022-10-15,12,6
10387913,56,2022-10-15,6,6
10387934,56,2022-10-22,15,10
9574417,56,2022-01-15,18,5
10387973,56,2022-10-15,9,6
10703648,56,2022-10-18,9,9
10698041,56,2022-10-18,4,15
10387950,56,2022-10-22,10,14
10387943,56,2022-10-22,7,10
