match_id,julia_proxy_xg_home,julia_proxy_xg_away,julia_proxy_xg_available_home,julia_proxy_xg_available_away
9574050,,,0,0
9574053,,,0,0
9574062,,,0,0
9574102,,,0,0
9574115,,,0,0
9574170,,,0,0
9574181,,,0,0
9574211,,,0,0
9574361,,,0,0
9574206,,,0,0
9780717,,,0,0
9574105,,,0,0
9573894,,,0,0
9573897,,,0,0
9574052,,,0,0
9574128,,,0,0
9574147,,,0,0
9574149,,,0,0
9574173,,,0,0
9574180,,,0,0
9574193,,,0,0
9574196,,,0,0
9574200,,,0,0
9574203,,,0,0
9574259,,,0,0
9574269,,,0,0
9574282,,,0,0
9574292,,,0,0
9574358,,,0,0
9573864,,,0,0
9574127,,,0,0
9574241,,,0,0
9573844,,,0,0
9573851,,,0,0
9573854,,,0,0
9573869,,,0,0
9574040,,,0,0
9574041,,,0,0
9574042,,,0,0
9574057,,,0,0
9574135,,,0,0
9574156,,,0,0
9574163,,,0,0
9574177,,,0,0
9574194,,,0,0
9574217,,,0,0
9574219,,,0,0
9574272,,,0,0
9574323,,,0,0
9573845,,,0,0
9573885,,,0,0
9573890,,,0,0
9574171,,,0,0
9813140,,,0,0
9574094,,,0,0
9573848,,,0,0
9573849,,,0,0
9573852,,,0,0
9573874,,,0,0
9573876,,,0,0
9573880,,,0,0
9573886,,,0,0
9574043,,,0,0
9574044,,,0,0
9574083,,,0,0
9574100,,,0,0
9574133,,,0,0
9574139,,,0,0
9574169,,,0,0
9574183,,,0,0
9574197,,,0,0
9574210,,,0,0
9573872,,,0,0
9573892,,,0,0
9574138,,,0,0
9574245,,,0,0
9574271,,,0,0
9573868,,,0,0
9574048,,,0,0
9574051,,,0,0
9574079,,,0,0
9574097,,,0,0
9574103,,,0,0
9574108,,,0,0
9574109,,,0,0
9574112,,,0,0
9574125,,,0,0
9574145,,,0,0
9574157,,,0,0
9574167,,,0,0
9574168,,,0,0
9574192,,,0,0
9574229,,,0,0
9574262,,,0,0
