match_id,tournament_id,season,match_date,home_team,away_team,home_goals,away_goals,bbc_shot_events_raw,bbc_shot_events_unresolved_side,bbc_shot_events_home_resolved,bbc_shot_events_away_resolved,bbc_parsed_home_resolved,bbc_parsed_away_resolved,proxy_xg_home,proxy_xg_away,proxy_xg_available_home,proxy_xg_available_away,proxy_xg_available_both,proxy_minus_goals_home,proxy_minus_goals_away
9424896,57,20/21,2021-04-06,brechin-city,stenhousemuir,1,1,0,0,0,0,0,0,,,0,0,0,,
9424898,57,20/21,2021-04-06,queens-park-fc,cowdenbeath,3,0,0,0,0,0,0,0,,,0,0,0,,
9424907,57,20/21,2021-04-06,stirling-albion,albion-rovers,1,1,0,0,0,0,0,0,,,0,0,0,,
9431750,57,20/21,2021-04-08,stenhousemuir,cowdenbeath,1,0,0,0,0,0,0,0,,,0,0,0,,
9434155,56,20/21,2021-04-08,clyde-fc,forfar-athletic,3,0,0,0,0,0,0,0,,,0,0,0,,
9434156,56,20/21,2021-04-08,dumbarton,east-fife,2,1,0,0,0,0,0,0,,,0,0,0,,
8824416,55,20/21,2021-04-09,heart-of-midlothian,alloa-athletic,6,0,0,0,0,0,0,0,,,0,0,0,,
8824288,55,20/21,2021-04-10,ayr-united,dunfermline-athletic,1,1,0,0,0,0,0,0,,,0,0,0,,
8824365,55,20/21,2021-04-10,queen-of-the-south,inverness-caledonian-thistle,1,1,0,0,0,0,0,0,,,0,0,0,,
8824372,55,20/21,2021-04-10,dundee-fc,greenock-morton,1,1,0,0,0,0,0,0,,,0,0,0,,
8824381,55,20/21,2021-04-10,raith-rovers,arbroath,2,2,0,0,0,0,0,0,,,0,0,0,,
9431707,56,20/21,2021-04-10,peterhead,partick-thistle,0,3,0,0,0,0,0,0,,,0,0,0,,
9431708,56,20/21,2021-04-10,cove-rangers,dumbarton,1,0,0,0,0,0,0,0,,,0,0,0,,
9431709,56,20/21,2021-04-10,montrose,airdrieonians,2,2,0,0,0,0,0,0,,,0,0,0,,
