environment,variant,model,likelihood,pair,bet_set,owner,n_bets,n_wins,win_rate_pct,cap_weighted_win_rate_pct,roi_pct,stake_sum,pnl_sum,stake_mean,odds_mean,edge_mean_pp,edge_win_pp,edge_loss_pp,capture_ratio
close,close_std,m00_poisson,Poisson,m00_poisson cal[close_std] vs raw vs raw,exclusive,raw,7,3,42.857142857142854,78.35820297541296,35.74496831624177,0.005187510095757499,0.0018542738401303611,0.0007410728708224999,3.2875068162758736,0.41857843500943603,0.08689406059255536,0.6673417158220964,0.13020924442811252
close,close_std_t007,m00_poisson,Poisson,m00_poisson cal[close_std_t007] vs raw vs raw,shared,m00_poisson cal[close_std_t007] vs raw,1286,446,34.68118195956454,36.0910360303919,10.547078671683922,17.520119632856122,1.8478608010504756,0.01362373221839512,3.5616204803398737,4.120960562122368,4.227403055659782,4.06444466674417,1.0400936418814999
close,close_std_t007,m00_poisson,Poisson,m00_poisson cal[close_std_t007] vs raw vs raw,shared,raw,1286,446,34.68118195956454,36.18608288050433,12.302795157822569,18.37139363103995,2.260194926064107,0.014285687115894207,3.5616204803398737,4.805007770960372,4.937840660219246,4.734479832139588,1.0429531511992431
close,close_std_t007,m00_poisson,Poisson,m00_poisson cal[close_std_t007] vs raw vs raw,exclusive,m00_poisson cal[close_std_t007] vs raw,4,2,50.0,41.982774072126546,11.904987875134392,0.0016058678128577034,0.00019117836841139543,0.00040146695321442586,2.2237034562027516,-1.06587207288361,-1.3916861684574955,-0.7400579773097243,NaN
close,close_std_t007,m00_poisson,Poisson,m00_poisson cal[close_std_t007] vs raw vs raw,exclusive,raw,10,5,50.0,79.42400361183289,28.65459169842807,0.014931897952651818,0.004278674391158319,0.0014931897952651819,2.911808104969875,1.1812368593706601,0.47695782474525994,1.8855158939960603,0.2529587930093877
close,close_std,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std] vs raw vs raw,shared,m05_poisson cal[close_std] vs raw,1229,434,35.313262815296994,37.89136373614987,11.258752003384412,15.816543583622092,1.7807454175872208,0.01286944148382595,3.533768781267106,3.8655017833308056,4.029734756158508,3.7758450409317836,1.0672405017881958
close,close_std,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std] vs raw vs raw,shared,raw,1229,434,35.313262815296994,37.86715799972329,11.681568951022077,16.62485047368201,1.9420433710874843,0.013527136268252245,3.533768781267106,4.20084979762298,4.382279708433035,4.101805041281388,1.0683783515620304
close,close_std,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std] vs raw vs raw,exclusive,m05_poisson cal[close_std] vs raw,4,3,75.0,78.44855346520106,92.30716934493296,0.0015608671339675082,0.0014407922686007894,0.00039021678349187704,2.386679383099157,-2.8244429275977105,-2.4260352623513395,-4.019665923336824,NaN
close,close_std,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std] vs raw vs raw,exclusive,raw,18,5,27.77777777777778,39.818813478033796,-0.29878957071031287,0.0075619783814356075,-2.2594402743098116e-5,0.00042010991007975597,3.5936942995721157,-1.049822866734618,0.046665404018979006,-1.471549124716771,NaN
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std_t007] vs raw vs raw,shared,m05_poisson cal[close_std_t007] vs raw,1229,433,35.231895850284786,37.89737419025673,10.86293557511163,15.603944416483937,1.6950464291388785,0.012696455993884408,3.5382732916552313,3.728860188871362,3.9162685215372384,3.626915706403618,1.0797793052159288
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std_t007] vs raw vs raw,shared,raw,1229,433,35.231895850284786,37.85642077319896,11.701574134442701,16.616308676082035,1.9443696781395738,0.01352018606678766,3.5382732916552313,4.189479551321172,4.390859504646983,4.079934928469317,1.0762082194027336
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std_t007] vs raw vs raw,exclusive,m05_poisson cal[close_std_t007] vs raw,5,3,60.0,74.89017773449866,78.2200815530776,0.0032370074705933044,0.0025319898833772976,0.0006474014941186608,2.5408309127301614,-2.42267852018477,-2.073962584926614,-2.945752423072004,NaN
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,m05_poisson cal[close_std_t007] vs raw vs raw,exclusive,raw,18,6,33.33333333333333,49.86257118799341,-14.586029124755628,0.01610377598140717,-0.0023489014548334517,0.0008946542211892873,3.2861363402939876,-0.2734877164612434,0.15009249464814495,-0.4852778220159376,NaN
close,close_std,m10_poisson,Poisson,m10_poisson cal[close_std] vs raw vs raw,shared,m10_poisson cal[close_std] vs raw,1283,444,34.60639127045986,34.40315004624841,10.432538146087337,17.74976190477468,1.8517506815552969,0.013834576698967014,3.5934516541726103,4.503877768290343,4.42155873375929,4.547441119102963,0.9723179735489341
close,close_std,m10_poisson,Poisson,m10_poisson cal[close_std] vs raw vs raw,shared,raw,1283,444,34.60639127045986,34.36163332194964,10.732412864937046,18.252453740020044,1.9589286933605945,0.014226386391286082,3.5934516541726103,4.935159900933892,4.825459472500366,4.993213524562599,0.9664035893444136
close,close_std,m10_poisson,Poisson,m10_poisson cal[close_std] vs raw vs raw,exclusive,m10_poisson cal[close_std] vs raw,4,4,100.0,100.0,122.74318390923166,0.0011772848095730416,0.0014450368589496861,0.0002943212023932604,2.308926840078734,-2.7207238146118415,-2.7207238146118415,NaN,NaN
close,close_std,m10_poisson,Poisson,m10_poisson cal[close_std] vs raw vs raw,exclusive,raw,16,10,62.5,58.12521793768121,48.74259081422093,0.00804686177378566,0.003922248907782304,0.0005029288608616037,3.1621892155022886,0.7267363940085538,1.10436374557242,0.09735747473544332,11.343389386109177
close,close_std_t007,m10_poisson,Poisson,m10_poisson cal[close_std_t007] vs raw vs raw,shared,m10_poisson cal[close_std_t007] vs raw,1284,446,34.73520249221183,34.53874662624916,9.944788823306004,17.49999788271349,1.7403378335188786,0.01362928184011954,3.5938336263891353,4.222649408726794,4.15990259106178,4.256044493068796,0.9774105035406495
close,close_std_t007,m10_poisson,Poisson,m10_poisson cal[close_std_t007] vs raw vs raw,shared,raw,1284,446,34.73520249221183,34.3702950650621,10.767512355422864,18.248534377773574,1.9649131938103586,0.014212254188297175,3.5938336263891353,4.931573495451952,4.820688861435532,4.990588467732768,0.9659559974949364
close,close_std_t007,m10_poisson,Poisson,m10_poisson cal[close_std_t007] vs raw vs raw,exclusive,m10_poisson cal[close_std_t007] vs raw,6,5,83.33333333333334,80.03984927865231,52.49035431825222,0.010373496701619722,0.0054450851738724,0.0017289161169366204,2.0633363077883144,-1.220650148740248,-2.2524903179791167,3.9385506974540965,-0.5719084229219495
close,close_std_t007,m10_poisson,Poisson,m10_poisson cal[close_std_t007] vs raw vs raw,exclusive,raw,15,8,53.333333333333336,37.13261300920334,-17.23393727620751,0.011966224020256018,-0.0020622515419813988,0.0007977482680170679,3.1007415645230822,0.7531711361341554,0.440051380704929,1.1110222851961287,0.39607790641863394
close,close_std,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std] vs raw vs raw,shared,m12_poisson cal[close_std] vs raw,1235,426,34.493927125506076,36.363790323449244,11.066846462441072,16.051155382030053,1.7763567215771128,0.01299688694901219,3.566115168575254,4.012641838316062,4.118199986065371,3.9570574490191475,1.0407228197018386
close,close_std,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std] vs raw vs raw,shared,raw,1235,426,34.493927125506076,36.31080289555717,11.376251241341063,16.81528765030116,1.912949370052456,0.013615617530608226,3.566115168575254,4.365296170416587,4.468600721966659,4.3108984708364515,1.0365822234499549
close,close_std,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std] vs raw vs raw,exclusive,m12_poisson cal[close_std] vs raw,8,3,37.5,36.17246978977982,-27.742730050339457,0.004919326994408635,-0.001364755608352265,0.0006149158743010794,2.4166117943955725,-1.8226942800395738,-1.935384200699904,-1.7550803276433757,NaN
close,close_std,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std] vs raw vs raw,exclusive,raw,18,5,27.77777777777778,36.87822871243818,-13.338592354739463,0.007722647694851848,-0.001030092495008972,0.0004290359830473249,3.49188807073884,-1.1006226492779794,-0.8793018601282482,-1.1857460297201836,NaN
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std_t007] vs raw vs raw,shared,m12_poisson cal[close_std_t007] vs raw,1237,427,34.518997574777686,36.42840818333372,10.704493143096425,15.805832736588714,1.6919342814974287,0.012777552737743504,3.567422459629697,3.8284981475815645,3.954619487663993,3.762011959661568,1.05119801055065
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std_t007] vs raw vs raw,shared,raw,1237,427,34.518997574777686,36.32891446377915,11.433914249120685,16.808716739550608,1.9218942583778107,0.013588291624535656,3.567422459629697,4.3404165418685015,4.4517599094043545,4.281720717253922,1.0397128172010917
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std_t007] vs raw vs raw,exclusive,m12_poisson cal[close_std_t007] vs raw,9,2,22.22222222222222,21.521673877761398,-55.94405015575416,0.009708957586823169,-0.0054315841019732525,0.0010787730652025743,2.4434695759003007,-1.0825024076530805,-2.238904376203321,-0.7521018452101546,NaN
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,m12_poisson cal[close_std_t007] vs raw vs raw,exclusive,raw,16,4,25.0,15.318816091025278,-69.78654656546676,0.01429355844540307,-0.009974980820363421,0.0008933474028376919,3.381539743862738,0.13964378038418354,-0.4185207646258751,0.32569862872086974,-1.2849939413916163
t25,t25_inv,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[t25_inv] vs raw vs raw,shared,m00_baseline_grw_negbin cal[t25_inv] vs raw,977,339,34.69805527123849,37.319357046765404,16.717393968102325,10.06779596835084,1.6830731159339325,0.010304806518271075,3.64972703005402,3.150156717817507,3.2245729774845655,3.110615789875292,1.0366349286788137
t25,t25_inv,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[t25_inv] vs raw vs raw,shared,raw,977,339,34.69805527123849,35.66349467862445,12.538925598626363,16.822405803156762,2.10934894755683,0.017218429685933227,3.64972703005402,5.676527481068741,5.511320749370359,5.764309741328537,0.9561111384864841
t25,t25_inv,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[t25_inv] vs raw vs raw,exclusive,m00_baseline_grw_negbin cal[t25_inv] vs raw,86,40,46.51162790697674,51.11662409006106,13.405206384211187,0.24912995454395048,0.03339638457150808,0.0028968599365575636,2.5506383133474113,-0.3257335358985658,-0.16973190328644652,-0.46138712947432164,NaN
t25,t25_inv,m00_baseline_grw_negbin,NegBin,m00_baseline_grw_negbin cal[t25_inv] vs raw vs raw,exclusive,raw,172,62,36.04651162790697,45.27421976676466,2.254543536697431,0.599599800890599,0.013518238557029664,0.0034860453540151107,3.28200330497664,-0.02150134952457304,0.6770766095825964,-0.4152452901122503,NaN
