environment,variant,model,likelihood,selection_family,n_bets,win_rate_pct,roi_pct,stake_sum,pnl_sum,edge_mean_pp,p_model_mean,p_market_mean,capture_ratio
close,close_std_t007,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,O/U 2.5_under_25,211,47.867298578199055,6.505166167876246,3.0165602907216447,0.19623225946561376,4.478226714248394,0.5039294817772575,0.4591472146347737,1.1175716096266697
close,raw,m00_poisson,Poisson,1X2_away,388,24.484536082474225,18.43560039557445,5.492684534063702,1.0126093716895046,6.388267002687894,0.32548706552657103,0.26160439549969233,1.0785591334245692
close,raw,m00_poisson,Poisson,1X2_draw,306,24.509803921568626,7.888322492305173,2.083179343739689,0.1643279047272732,0.5932512410129024,0.2530744968537432,0.24714198444361418,2.041108743644551
close,raw,m00_poisson,Poisson,1X2_home,328,39.02439024390244,11.789915633908826,6.887676562710839,0.8120512558801192,6.469923688322562,0.40977039546202315,0.3450711585787976,0.8095753086176851
close,raw,m00_poisson,Poisson,O/U 1.5_over_15,50,78.0,3.653765615525684,0.5220173055018537,0.019073288815520395,3.486340295037249,0.7997250803641797,0.7648616774138074,1.0878294017470413
close,raw,m00_poisson,Poisson,O/U 2.5_under_25,224,50.89285714285714,7.53982029077047,3.4007677829765193,0.25641177934284864,5.510794199706386,0.5201753307859487,0.4650673887888849,0.9973135322567752
close,close_std,m00_poisson,Poisson,1X2_away,389,24.67866323907455,15.854511721597326,5.351720743223117,0.8484891925414647,5.8173107868036915,0.3198527270819484,0.2616796192139117,1.0678466424653126
close,close_std,m00_poisson,Poisson,1X2_draw,301,24.25249169435216,8.863787466068333,1.9723683827694702,0.174826541496615,0.5409809379175264,0.25234022021116065,0.24693041083198553,2.009246024262808
close,close_std,m00_poisson,Poisson,1X2_home,330,39.39393939393939,11.59943316515853,6.709574711404457,0.7782726343157382,5.865436894202606,0.4044456020848414,0.34579123314281546,0.7921971795710405
close,close_std,m00_poisson,Poisson,O/U 1.5_over_15,49,77.55102040816327,2.9927936967174884,0.5088060268936658,0.015227514701392319,3.1981786331319957,0.7955190735816945,0.7635372872503741,1.139184096401058
close,close_std,m00_poisson,Poisson,O/U 2.5_under_25,223,51.12107623318386,7.821092828078981,3.3205625478699194,0.25970427928333095,5.028184330939966,0.5156279530284624,0.46534610971906276,0.9946459735383154
close,close_std_t007,m00_poisson,Poisson,1X2_away,389,24.67866323907455,12.77535775736943,5.279882732947893,0.6745239083036678,5.540994415372268,0.31708956336763405,0.2616796192139117,1.0716110395663545
close,close_std_t007,m00_poisson,Poisson,1X2_draw,300,24.0,7.457065670778202,1.890998710870958,0.14101301570321656,0.4143713204376421,0.2509521647066588,0.24680845150228245,2.041974984816783
close,close_std_t007,m00_poisson,Poisson,1X2_home,329,39.209726443769,11.497061720614214,6.639355367026169,0.7633307843979109,5.632836018677495,0.4017852525144318,0.345456892327657,0.8100797807958025
close,close_std_t007,m00_poisson,Poisson,O/U 1.5_over_15,48,77.08333333333334,2.8627378454932297,0.49967523028288735,0.014304391921863663,2.985880776295631,0.7928545862061167,0.7629957784431601,1.4621979097663016
close,close_std_t007,m00_poisson,Poisson,O/U 2.5_under_25,224,50.89285714285714,7.9356999496678755,3.211813459541072,0.2548798790922269,4.549143944105537,0.510966429715394,0.4654749902743388,1.0002879587298696
close,raw,m05_poisson,Joint Gamma-Poisson,1X2_away,403,26.550868486352357,7.766783120763535,5.538823136227799,0.4301883804334862,5.4999252252634285,0.3262652852163248,0.2712660329636908,0.9320149648398138
close,raw,m05_poisson,Joint Gamma-Poisson,1X2_draw,273,24.175824175824175,3.378298092892948,1.5771804744665214,0.053281857890382436,0.5053735058081766,0.2493579711754468,0.24430423611736515,1.3168025883200476
close,raw,m05_poisson,Joint Gamma-Poisson,1X2_home,310,39.03225806451613,19.991705913709897,5.512101379279113,1.1019630974110273,4.904680225047125,0.3982133113441796,0.3491665090937082,0.953463620344471
close,raw,m05_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,64,75.0,1.2518908964222746,0.7763476933582647,0.00971902609773643,3.4678269063137384,0.7938908463725814,0.7592125773094436,1.2791719271142654
close,raw,m05_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,197,49.23857868020304,10.745747769600966,3.227959768731747,0.34686841485210823,5.315324695644345,0.5184005771602038,0.4652473302037603,1.1423474339396027
close,close_std,m05_poisson,Joint Gamma-Poisson,1X2_away,406,27.093596059113302,6.936990371522531,5.273074393942618,0.3657926629910195,5.0279219898604985,0.32250843694849635,0.27222921704989145,0.8943399923258422
close,close_std,m05_poisson,Joint Gamma-Poisson,1X2_draw,257,24.124513618677042,3.650067492889459,1.428716090214622,0.05214910157460516,0.5019106665131423,0.2481471969531177,0.2431280902879865,1.1617905448684505
close,close_std,m05_poisson,Joint Gamma-Poisson,1X2_home,311,38.90675241157556,19.89400475283144,5.284953482709319,1.0513888970351226,4.541324945562703,0.3950011409060381,0.349587891450411,0.9666189770832889
close,close_std,m05_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,63,74.60317460317461,0.5812766732841101,0.7474696448245127,0.004344866685244482,3.1830595660116283,0.7905384917561351,0.758707896096019,1.2703146760721251
close,close_std,m05_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,196,49.48979591836735,10.00394299505645,3.0838908390649804,0.3085106815698287,4.878529286210184,0.514168819571266,0.4653835267091644,1.124852450289791
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,1X2_away,407,27.027027027027028,6.871549939576722,5.22251072579248,0.35886743262258103,4.8884599737373255,0.3212194692933985,0.2723348695560254,0.9112107741089588
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,1X2_draw,260,24.23076923076923,2.4177540189903044,1.3801151081113903,0.03336778849305552,0.3855724433262404,0.24716771665332368,0.24331199222006142,1.2329225827379988
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,1X2_home,311,38.90675241157556,19.613042038242092,5.252476213917477,1.0301703678843015,4.461827416818586,0.3942061656185967,0.349587891450411,0.969433890907421
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,62,74.19354838709677,0.10160643764517917,0.7462389896344606,0.0007582268536869532,3.1336320016280124,0.7891002103142983,0.7577638902980182,1.2892772658948384
close,close_std_t007,m05_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,194,49.48453608247423,9.129380402273362,3.0058403864987158,0.27441460316863164,4.633454763992526,0.5122234328344709,0.46588888519454574,1.1513769476972386
close,raw,m10_poisson,Poisson,1X2_away,378,25.396825396825395,14.780847758229886,5.582049478403563,0.825074235191896,6.944944656255038,0.32763225848767596,0.2581828119251256,0.9667473187488993
close,raw,m10_poisson,Poisson,1X2_draw,326,25.4601226993865,3.916153695401342,2.1955579640015164,0.08598142434192384,0.5502227749232999,0.2528206151372695,0.24731838738803652,1.517864721364993
close,raw,m10_poisson,Poisson,1X2_home,320,39.375,11.563263862581644,6.95920948248908,0.8047117552100148,6.997062788736853,0.41023193975697403,0.3402613118696054,0.7701660237100603
close,raw,m10_poisson,Poisson,O/U 1.5_over_15,47,78.72340425531915,1.639597090301344,0.43726705567538277,0.007169417921699933,2.965691395154223,0.7860220137369257,0.7563650997853832,1.1656246278253082
close,raw,m10_poisson,Poisson,O/U 2.5_under_25,228,49.122807017543856,7.7732250388049,3.0864166212242874,0.23991410960284248,5.089599309407354,0.5097434391402339,0.4588474460461603,1.0441049554918147
close,close_std,m10_poisson,Poisson,1X2_away,380,25.789473684210527,12.882120500782344,5.432071571927523,0.6997660055844452,6.2701736907853824,0.3217431598840128,0.25904142297615906,0.9435088713372665
close,close_std,m10_poisson,Poisson,1X2_draw,316,24.367088607594937,5.4423197485442,2.0838614313930677,0.11341040221300078,0.5376747709519204,0.2522537014302396,0.24687695372072044,1.5841988291588467
close,close_std,m10_poisson,Poisson,1X2_home,322,39.75155279503105,11.792159924501252,6.777576452701442,0.7992226543078931,6.336524236198936,0.40429555509125636,0.3409303127292669,0.7629460380502066
close,close_std,m10_poisson,Poisson,O/U 1.5_over_15,46,78.26086956521739,-0.3759574954829057,0.42702362944897243,-0.0016054273423965603,2.755497445615227,0.7847088560650737,0.7571538816089213,1.1481024978175276
close,close_std,m10_poisson,Poisson,O/U 2.5_under_25,223,48.87892376681614,7.99899667976136,3.0304061041132444,0.242402083651304,4.699136164952702,0.505781542165294,0.45879018051576725,1.0353080249648285
close,close_std_t007,m10_poisson,Poisson,1X2_away,379,25.593667546174142,11.209378513178034,5.383037076693212,0.6034050014312559,5.968202407904191,0.31834970181498196,0.2586676777359405,0.974570096829891
close,close_std_t007,m10_poisson,Poisson,1X2_draw,317,24.9211356466877,3.3183360237973294,2.016159581019643,0.06690294967421612,0.403277812212729,0.2509660330953689,0.24693325497324206,1.2236461648034036
close,close_std_t007,m10_poisson,Poisson,1X2_home,322,39.75155279503105,12.769504868671728,6.727969232119586,0.8591283586582463,6.03632256704267,0.40129353839969356,0.3409303127292669,0.783344987041377
close,close_std_t007,m10_poisson,Poisson,O/U 1.5_over_15,47,78.72340425531915,-0.8462060390395266,0.42833975954255016,-0.0036246369128564463,2.5693636979792527,0.7814113758398815,0.7557177388600888,1.0556168622570272
close,close_std_t007,m10_poisson,Poisson,O/U 2.5_under_25,225,48.888888888888886,7.444373651418079,2.9548657300401087,0.21997124584188832,4.268063113123888,0.5013336310341391,0.4586529999029003,1.0482758554004767
close,raw,m12_poisson,Joint Gamma-Poisson,1X2_away,413,26.876513317191282,10.026257177940316,5.74687397175542,0.5761963641003115,5.704007233596236,0.3276746094095109,0.2706345370735486,0.8777371033890091
close,raw,m12_poisson,Joint Gamma-Poisson,1X2_draw,282,24.46808510638298,0.5523285849968517,1.7462468557010566,0.00964502054864566,0.6507778340925292,0.2512496703641919,0.24474189202326666,1.2110273002817475
close,raw,m12_poisson,Joint Gamma-Poisson,1X2_home,301,37.2093023255814,18.118629249119675,5.590252876340111,1.0128771927523132,5.316605176151988,0.3960689194958567,0.342902867734337,0.9638325707438704
close,raw,m12_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,60,73.33333333333333,1.2869890196950038,0.7376286360948718,0.009493199552667017,3.31860358640381,0.787642720165212,0.7544566843011737,1.219636021622594
close,raw,m12_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,197,48.223350253807105,10.116811975251032,3.002007958104556,0.3037075006035107,5.241831740518615,0.5126470803136829,0.4602287629084969,1.1667333003776539
close,close_std,m12_poisson,Joint Gamma-Poisson,1X2_away,416,26.923076923076923,9.080632222753595,5.506745889498204,0.500047341666933,5.209105159458173,0.32363570992318524,0.2715446583286036,0.8801633235068053
close,close_std,m12_poisson,Joint Gamma-Poisson,1X2_draw,266,24.43609022556391,0.9485327518598038,1.6008418278415817,0.015184509042548536,0.6555554717935831,0.24988770678346972,0.24333215206553388,1.1761482155877996
close,close_std,m12_poisson,Joint Gamma-Poisson,1X2_home,306,37.254901960784316,18.065372260018332,5.352899763092929,0.967021268908377,4.825596780748915,0.39262728749696874,0.34437131968947965,0.9679893866672296
close,close_std,m12_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,59,72.88135593220339,0.40710900629136304,0.7095678950429498,0.002888714806471895,3.058444279533798,0.7843462480939124,0.7537618052985744,1.2332123767586953
close,close_std,m12_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,196,48.46938775510204,10.043249820783995,2.8860193335487945,0.28985013154443073,4.809106055340137,0.5078027439120444,0.4597116833586433,1.162437926325664
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,1X2_away,417,26.85851318944844,9.224138159612112,5.4448886969758234,0.5022440560461536,5.033167724439235,0.32198109607351805,0.27164941882912597,0.9050873352573411
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,1X2_draw,269,24.53531598513011,-0.8628258359657949,1.5429807715514738,-0.013313236740930476,0.5037769038764613,0.2487056266491232,0.24366785761035853,1.1566518450661707
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,1X2_home,305,37.049180327868854,17.859170831479187,5.309599602823734,0.9482504635358311,4.721778811014368,0.39137683096958764,0.34415904285944376,0.9879364378609189
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,O/U 1.5_over_15,58,74.13793103448276,0.007133914577615355,0.7041280147317259,5.0231891088020186e-5,2.9722562306187252,0.7829066455971158,0.7531840832909282,1.2448226111326424
close,close_std_t007,m12_poisson,Joint Gamma-Poisson,O/U 2.5_under_25,197,48.223350253807105,8.858425355865917,2.8139446080927795,0.2492711826633126,4.463093197565078,0.5056210099200354,0.46099007794438446,1.1749131953706653
t25,raw,m00_baseline_grw_negbin,NegBin,1X2_away,348,27.011494252873565,13.066017889727101,5.088785427395212,0.6649016143132842,6.55019370135997,0.3277115580554122,0.2622096210418126,0.8495797912998524
t25,raw,m00_baseline_grw_negbin,NegBin,1X2_draw,279,26.16487455197133,8.731950055241283,1.9161407003480355,0.167316448942541,0.43534610496254134,0.2515084912460714,0.24715503019644602,1.116665510220466
t25,raw,m00_baseline_grw_negbin,NegBin,1X2_home,300,36.0,11.933485332111497,6.732009835854735,0.8033634063180282,6.629457761343365,0.4073653724242656,0.34107079481083236,0.9315505948959492
t25,raw,m00_baseline_grw_negbin,NegBin,O/U 1.5_over_15,28,89.28571428571429,21.830964117216016,0.324433790742855,0.07082702444119637,3.4337855180673635,0.7867610359091827,0.7524231807285087,1.040723140725655
t25,raw,m00_baseline_grw_negbin,NegBin,O/U 2.5_under_25,194,52.0618556701031,12.392258808260284,3.3606358497065245,0.41645869209880965,5.445138260923803,0.5203030174052772,0.46585163479603886,1.0412054721380228
t25,t25_inv,m00_baseline_grw_negbin,NegBin,1X2_away,369,28.455284552845526,13.050269654861026,3.028300355479768,0.39520136234922476,3.2147366063273672,0.3012312546759262,0.2690838886126525,0.7967633119411813
t25,t25_inv,m00_baseline_grw_negbin,NegBin,1X2_draw,170,27.058823529411764,33.42737584247356,0.9029484774817069,0.3018319812317029,0.9705543512448443,0.24792586153819413,0.23822031802574553,1.0011125307225535
t25,t25_inv,m00_baseline_grw_negbin,NegBin,1X2_home,314,35.98726114649681,13.43451741297154,3.770379451377125,0.5065322839303606,3.1277599777884393,0.37859794615452175,0.3473203463766378,0.9220666229019426
