environment,variant,calibrator,law,role,model,likelihood,n_panel,n_slates,n_bets,total_return_pct,cagr_pct,growth_per_slate,growth_lo,growth_hi,roi_pct,p_roi_positive,sharpe_ann,calmar,max_drawdown_pct,win_rate_pct,mean_edge_pp,mean_exposure,capture_ratio,cap_weighted_win_rate_pct,run_id
t25,raw,none,none,control,m10_poisson,Poisson,611,99,1143,420.1584469293481,160.12864077573585,0.01665619479603444,-0.0023188647889543093,0.035792833198491705,12.357755889020812,0.9765,1.2906051024587466,8.864554724748052,-47.397580586461984,35.43307086614173,4.962978810098529,0.1754012638443202,0.9473368038879071,35.12020455926982,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
t25,raw,none,none,ladder,m00_baseline_grw_negbin,NegBin,611,99,1149,386.5422488824295,150.24552709799397,0.0159813490341422,-0.003529400263957849,0.03577230075921069,12.184975911273328,0.97325,1.188287835264289,8.223627930603294,-47.00385914153004,34.89991296779809,4.8235588484646925,0.17597985458633694,0.9811205503938285,35.99425963073334,0c0da991-7d4c-4f01-90e2-2af157f27aaa
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,control,m00_poisson,Poisson,611,99,1027,359.2549165862282,142.01014979588265,0.015398335795310024,0.0034666338117154524,0.02767070237085372,17.785953378299073,0.99575,1.8365187817792303,13.225330560550034,-27.1641540407204,36.22200584225901,2.8184005858627517,0.09892455398640813,1.0134440384141574,38.786702095874496,158d2a80-7ea3-4d6c-b3ab-be62bcf1bc11
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,ladder,m00_baseline_grw_negbin,NegBin,611,99,1063,342.7560328633225,136.93081811827793,0.015028774913870765,0.0028805187540493233,0.02824768857963176,16.63741228088437,0.9945,1.7403092409604597,12.172176077020849,-28.158977548015585,35.65380997177799,2.8689464056636194,0.10421137295853325,0.9985861255053258,37.65252920841668,0c0da991-7d4c-4f01-90e2-2af157f27aaa
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,control,m12_poisson,Joint Gamma-Poisson,611,99,984,302.0832714413282,124.05745467198774,0.014055444687562426,0.004380042040024298,0.023959887475192683,18.8086974537944,0.99775,2.079603835642851,12.42799157304166,-24.306684605145374,36.6869918699187,2.481790725856513,0.08231422937342918,1.0125786032424924,40.153928523106984,3a9a4c7e-378b-45d0-a2d2-c8b69b46786b
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,ladder,m12_joint_hybrid_synergy_negbin,Joint Gamma-NegBin,611,99,1011,300.93343703646644,123.6857572062716,0.014026517526388331,0.0034782526142160923,0.024603224186777295,17.7327575262608,0.99675,1.9713733500308435,12.28279763747402,-24.500398518195723,36.30069238377844,2.552582660765459,0.0879455200928886,0.9787361089777615,38.76608767733593,c3d2aede-ddd5-4590-9c75-5937de4b1bbc
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,control,m10_poisson,Poisson,611,99,1046,299.7937721332058,123.31690484576887,0.013997764227284494,0.002080452134499484,0.026521752906772746,16.411894417784726,0.98975,1.7143773009331957,10.018124768796566,-29.925138591502957,35.75525812619503,2.8230654457554687,0.09779927787944336,0.9486631048497939,36.74882882618723,b13c8fb9-ce34-4210-aa3f-9d2ed493c286
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,ladder,m10_lineup_grw_negbin,NegBin,611,99,1071,296.70937753058826,122.31641839378557,0.013919533132320801,0.001270957405298678,0.026946162883243262,15.620690217908868,0.98725,1.6402996065918845,10.277669826523486,-28.869323741542384,35.57422969187675,2.8848715790101487,0.10320816973778894,0.9281766364584157,35.90623495687278,f7fd8385-fa15-4f6a-ae89-e23447907a80
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,ladder,m05_wealth_grw_negbin,Joint Gamma-NegBin,611,99,998,253.59410472984538,107.97077616744808,0.012757368409013264,0.0027951528835870438,0.022735188917143753,16.698751624227405,0.99475,1.9016320944613914,10.877035665560598,-23.3146339248282,35.57114228456914,2.461687039101746,0.08467929542559234,1.034646830667925,39.82529511935763,019d41d4-9e0e-41eb-bbc1-8984263f0f14
t25,t25_inv,scot_lower_t25_inv,inv_w0.25_s0.35,control,m05_poisson,Joint Gamma-Poisson,611,99,969,245.85059998036266,105.31800824597136,0.012533704079357269,0.0030610689469119006,0.02203686159486,17.388934246342636,0.99575,1.9756565186781345,11.178244132920543,-21.99366886757457,36.326109391124874,2.36081760374766,0.0792277308994469,1.0671531360121367,41.353264347378364,b0961bc4-c40c-4dbe-9c05-57df7ae0839e
