environment,policy,pair,a_return_pct,b_return_pct,a_roi_pct,b_roi_pct,n_slates,delta_log_growth_per_slate,lo,hi,p_better,delta_total_log_growth
t25,+O3.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,481.3789858570944,388.16662012758655,15.176957255068835,14.573188205372146,99,0.0017651117289863869,-0.002491997505709037,0.005828728547259118,0.7932,0.1747460611696523
t25,+O3.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,388.16662012758655,420.7725092251402,14.573188205372146,12.407572068173321,99,-0.0006530961774734047,-0.012358900633875602,0.011751598953153511,0.4562,-0.06465652156986706
t25,+O4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,373.2687272612004,509.1802769374777,14.666517246019339,13.852884502441665,99,-0.0025500089317009285,-0.014000307573245791,0.009366060949617441,0.3354,-0.2524508842383919
t25,+O4.5,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,373.2687272612004,330.6354847713927,14.666517246019339,14.068812171970349,99,0.000953549208465725,-0.003523646599427241,0.005142044739855859,0.6666,0.09440137163810677
t25,+O4.5,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,330.6354847713927,509.1802769374777,14.068812171970349,13.852884502441665,99,-0.0035035581401666534,-0.01507950789356374,0.008601965455054796,0.2872,-0.3468522558764987
t25,+BTTS_yes,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,402.3328325641426,455.74596200204496,14.999858278864222,12.924228020313985,99,-0.0010206906453837953,-0.012397319861705856,0.010556298226738902,0.4292,-0.10104837389299573
t25,+BTTS_yes,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,402.3328325641426,305.8781629498144,14.999858278864222,13.408788802532511,99,0.002153635250130472,-0.0020406894690823776,0.006139308221180406,0.8425,0.21320988976291672
t25,+BTTS_yes,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,305.8781629498144,455.74596200204496,13.408788802532511,12.924228020313985,99,-0.0031743258955142678,-0.014752492918930393,0.008855266406620477,0.3013,-0.31425826365591253
t25,+BTTS_no,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,535.1243329213164,590.6114865511507,16.378204888530842,14.412584685668746,99,-0.0008460266457316844,-0.011965438424568568,0.010583680776454647,0.445,-0.08375663792743676
t25,+BTTS_no,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,535.1243329213164,439.1285976113684,16.378204888530842,15.411625646464937,99,0.0016552187030368431,-0.0026891283424962135,0.005766836637827158,0.7737,0.16386665160064748
t25,+BTTS_no,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,439.1285976113684,590.6114865511507,15.411625646464937,14.412584685668746,99,-0.0025012453487685284,-0.014042093234460614,0.009484075937070024,0.3446,-0.2476232895280843
t25,+all_unders,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,294.1640739601719,380.1222044329546,12.370223113879504,11.280718712550033,99,-0.001992660707898522,-0.01345203612275835,0.009911120699414728,0.3695,-0.19727341008195368
t25,+all_unders,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,294.1640739601719,254.33480151623465,12.370223113879504,11.82368878904171,99,0.0010760103112371477,-0.0041136846165099284,0.0060148721310173195,0.6582,0.10652502081247761
t25,+all_unders,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,254.33480151623465,380.1222044329546,11.82368878904171,11.280718712550033,99,-0.0030686710191356686,-0.015266133912352934,0.009806151182877745,0.3179,-0.3037984308944312
t25,+all_fringe,m05_joint_grw_smile_spine_w040 − m05_joint_grw_baseline,231.01587638631483,350.3076506518127,9.622996510304356,9.863257521163517,99,-0.0031087341226747503,-0.014862059531254848,0.008774907906421672,0.3042,-0.3077646781448003
t25,+all_fringe,m05_joint_grw_smile_spine_w040 − m05_joint_grw_smile_supremacy_w040,231.01587638631483,210.3076549756385,9.622996510304356,9.52123024571248,99,0.0006525464484250093,-0.004152779137567661,0.005320872101070512,0.5965,0.06460209839407592
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040 − m05_joint_grw_baseline,210.3076549756385,350.3076506518127,9.52123024571248,9.863257521163517,99,-0.0037612805710997605,-0.015620296546671545,0.008780797009936576,0.2755,-0.3723667765388763
