environment,model,policy,n_bets,total_return_pct,roi_pct,sharpe_ann,max_drawdown_pct,win_rate_pct,n_capped,mean_exposure,delta_return_pp,delta_sharpe,core_n_bets,core_roi_pct,core_stake_vs_p0,delta_core_roi_pp,added_n_bets,added_win_rate_pct,added_roi_pct,added_stake_share_pct,added_edge_pp
t25,m05_joint_grw_baseline,P0 Option B,1124,531.7811340934728,14.152408726635706,1.6584024205331789,-41.85563512764795,35.40925266903915,21,0.15876725698958746,0.0,0.0,1124,14.15240872663571,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_baseline,P0 ext book,1123,509.52183526361364,13.951355677528769,1.6180551761849815,-41.823156384920104,35.2626892252894,21,0.15865218127810424,0.0,0.0,1123,13.951355677528769,1.0,0.0,0,NaN,NaN,0.0,NaN
t25,m05_joint_grw_baseline,+U0.5,1160,450.8763985191684,13.203065597497721,1.532848679024456,-41.88535043686149,34.224137931034484,21,0.1595461250519328,-58.64543674444525,-0.08520649716052553,1123,13.93334499832934,0.9985362203956617,-0.018010679199429447,37,2.7027027027027026,-89.52587442345468,0.7058620825799944,2.269807158066276
t25,m05_joint_grw_baseline,+U1.5,1199,519.7632374296378,13.762851903208427,1.6269872640894139,-39.31111963167495,34.528773978315265,24,0.16231021312790814,10.241402166024159,0.00893208790443234,1123,14.079808443847318,0.9912166061314763,0.1284527663185493,76,23.684210526315788,3.8957220351653494,3.1122726960435165,4.8566956998654485
t25,m05_joint_grw_baseline,+U3.5,1190,426.58639941295144,12.411376359387464,1.524930020082772,-40.17030050381332,36.470588235294116,25,0.1646785079470497,-82.9354358506622,-0.0931251561022095,1123,14.209598521984402,0.9740827250668214,0.2582428444556335,67,56.71641791044776,-14.99970333395773,6.156333935900353,6.006079778833798
t25,m05_joint_grw_baseline,+U4.5,1146,523.4645102768314,13.665251212390766,1.654263323208209,-41.62006210930482,36.474694589877835,22,0.16316277334370438,13.942675013217809,0.03620814702322739,1123,13.7871653313289,0.9910323897040685,-0.1641903461998684,23,95.65217391304348,10.434601219105641,3.6364440725722655,4.835974456838963
t25,m05_joint_grw_baseline,+O2.5,1239,562.1584356185008,13.62582149671682,1.684608399699879,-41.303932582435884,37.44955609362389,29,0.1689634651051859,52.63660035488715,0.06655322351489756,1123,13.89290720012505,0.9738857948797257,-0.05844847740371861,116,58.620689655172406,10.770823088340581,8.554724787846126,5.739779978509945
t25,m05_joint_grw_baseline,+O3.5,1198,420.7725092251402,12.407572068173321,1.4872726635050348,-38.81926925400684,34.72454090150251,26,0.16481652180635645,-88.74932603847344,-0.13078251267994667,1123,14.186165617331715,0.9900788524882961,0.23480993980294684,75,26.666666666666668,-23.695491107336586,4.695131372119171,4.992935596507738
t25,m05_joint_grw_baseline,+O4.5,1144,509.1802769374777,13.852884502441665,1.6176662067612597,-41.82315638492009,34.7027972027972,22,0.15970877144664863,-0.34155832613595294,-0.00038896942372179666,1123,14.011836221384176,0.9997922406779701,0.06048054385540702,21,4.761904761904762,-9.287641162165832,0.6822115205671386,3.2372202826600214
t25,m05_joint_grw_baseline,+BTTS_yes,1196,455.74596200204496,12.924228020313985,1.5241299866664433,-40.32666801284646,36.78929765886287,25,0.16426323437661325,-53.77587326156868,-0.09392518951853823,1123,14.08536563694302,0.9899234967836164,0.13400995941425187,73,60.273972602739725,-12.369534665829818,4.389121120624026,3.0749263680352623
