environment,policy,model,level,group,n_bets,win_rate_pct,roi_pct,stake_share_pct,edge_mean_pp,odds_mean,capture_ratio
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 3.5_under_35,42,57.14285714285714,-11.32168589312799,1.8313620523713097,3.5629915178631713,1.5823886749344642,0.8495340384490389
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_over_45,43,2.3255813953488373,-40.43999385981104,1.3838802552044995,2.0884980029723934,6.6676943883842945,3.7530914997026
t25,+all_fringe,m05_joint_grw_smile_supremacy_w040,family,O/U 4.5_under_45,2,100.0,36.81795669396153,0.06886846099010169,9.216872299692463,1.4803731343283584,NaN
t25,+U0.5,m05_joint_grw_smile_spine_w040,family,O/U 0.5_under_05,73,5.47945205479452,-49.27016329589552,2.079978169251572,2.4456462786174313,15.982162663847772,0.6281052675190089
t25,+U1.5,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,152,19.736842105263158,-14.634957998659857,8.34020060547064,4.293899213135475,4.404449682001947,1.0564083231959907
t25,+U3.5,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,25,56.00000000000001,-4.374663579811735,1.3528629430753965,3.5908312009084007,1.615358850759148,0.8236483895450211
t25,+U4.5,m05_joint_grw_smile_spine_w040,family,O/U 4.5_under_45,1,100.0,35.28000000000001,0.03015812437027512,9.577152036808112,1.36,NaN
t25,+O2.5,m05_joint_grw_smile_spine_w040,family,O/U 2.5_over_25,64,54.6875,15.564487684052207,3.2232142768357845,2.1357781699502967,2.1130155837642337,1.0540896834124345
t25,+O3.5,m05_joint_grw_smile_spine_w040,family,O/U 3.5_over_35,116,27.586206896551722,-7.882017700133715,6.668265035618113,1.7610498509001715,3.231797168203258,1.2215297689375568
t25,+O4.5,m05_joint_grw_smile_spine_w040,family,O/U 4.5_over_45,46,4.3478260869565215,-49.41279668532734,2.498905693934451,2.6546954078009652,6.548379455952535,1.8055261569623025
t25,+BTTS_yes,m05_joint_grw_smile_spine_w040,family,BTTS_btts_yes,46,50.0,-38.420298443980954,3.301404097971094,1.0361248002998331,1.9011530828652028,0.19201477010190618
t25,+BTTS_no,m05_joint_grw_smile_spine_w040,family,BTTS_btts_no,97,40.20618556701031,11.46845293500702,5.197184674332748,3.5519761385907707,2.3700986713671783,1.1639615161725299
t25,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 0.5_under_05,73,5.47945205479452,-47.509542783570446,1.875236106814014,2.4456462786174313,15.982162663847772,0.6281052675190089
t25,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 1.5_under_15,152,19.736842105263158,-14.994721483527941,8.099088775543104,4.293899213135475,4.404449682001947,1.0564083231959907
t25,+all_unders,m05_joint_grw_smile_spine_w040,family,O/U 3.5_under_35,25,56.00000000000001,-5.766877056303234,1.2082052891117094,3.5908312009084007,1.615358850759148,0.8236483895450211
