environment,model,policy,family,n_bets,mean_p_model,mean_p_market,realised_win_rate,model_minus_realised,roi_pct
close,m05_joint_grw_smile_supremacy_w040,+O4.5,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.621064504155487
close,m05_joint_grw_smile_supremacy_w040,+O4.5,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.415076588928375
close,m05_joint_grw_smile_supremacy_w040,+O4.5,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-7.0533521349727515
close,m05_joint_grw_smile_supremacy_w040,+O4.5,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,14.327482963239605
close,m05_joint_grw_smile_supremacy_w040,+O4.5,O/U 4.5_over_45,93,0.18668018270489478,0.15798322185919367,0.0967741935483871,0.08990598915650769,6.987586181974823
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,24.028267156310754
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.318738069747464
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.57400719712664
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,BTTS_btts_yes,66,0.5534815370159643,0.5379123930134184,0.5,0.05348153701596425,-1.7106859574584952
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-6.954863047861388
close,m05_joint_grw_smile_supremacy_w040,+BTTS_yes,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,14.899336831631073
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.459912210326266
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,5.6767146727606175
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,1X2_home,254,0.3729224409983186,0.3248195157022836,0.38188976377952755,-0.00896732278120893,17.58011382806452
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,BTTS_btts_no,64,0.45390031509250534,0.42896479631193146,0.390625,0.06327531509250534,-0.15993936317830332
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,O/U 1.5_over_15,41,0.7429712164685675,0.7392426602220372,0.6829268292682927,0.06004438720027472,-6.920579227312253
close,m05_joint_grw_smile_supremacy_w040,+BTTS_no,O/U 2.5_under_25,162,0.4739672909954499,0.4381483750705327,0.4506172839506173,0.023350007044832588,15.176267159572342
close,m05_joint_grw_smile_supremacy_w040,+all_unders,1X2_away,321,0.30017056134690223,0.24968228795169142,0.2554517133956386,0.04471884795126363,23.261014336488657
close,m05_joint_grw_smile_supremacy_w040,+all_unders,1X2_draw,475,0.2738809407170209,0.25397748958831495,0.2631578947368421,0.010723045980178814,4.729356445164837
