y,pressure,home,season,division,history_matches,pressure_z
0,1.7916666666666667,0,21/22,57,24,2.0903587220901163
0,2.0,1,21/22,57,6,2.8658456634552008
0,1.3333333333333333,0,21/22,57,24,0.3842874510869303
0,1.173913043478261,1,21/22,57,23,-0.20912864317504667
0,0.64,0,21/22,57,25,-2.19653308977607
0,1.0416666666666667,1,21/22,56,24,-0.7013942668241873
0,1.3478260869565217,0,21/22,56,23,0.4382343687471103
0,1.84,1,21/22,57,25,2.270271692486816
0,0.6153846153846154,0,21/22,57,26,-2.288159854540437
0,1.375,1,21/22,56,24,0.5393848393599474
0,1.0,0,21/22,56,25,-0.8564916550972045
0,0.92,1,21/22,56,25,-1.1542786405813967
0,0.8846153846153846,0,21/22,56,26,-1.2859921149301745
0,1.8571428571428572,1,21/22,57,7,2.334083189376286
0,1.1666666666666667,0,21/22,57,24,-0.23610210200513668
0,1.375,1,21/22,56,8,0.5393848393599474
0,1.12,0,21/22,56,25,-0.40981117687091545
0,1.2083333333333333,1,21/22,56,24,-0.08100471373212036
0,1.2,0,21/22,56,25,-0.11202419138672362
0,1.2916666666666667,1,21/22,57,24,0.22919006281391394
0,1.2916666666666667,0,21/22,57,24,0.22919006281391394
0,1.0416666666666667,1,21/22,57,24,-0.7013942668241873
0,0.6818181818181818,0,21/22,57,22,-2.040871711000243
0,1.28,1,21/22,57,25,0.18576279409746904
0,1.0,0,21/22,57,23,-0.8564916550972045
0,1.76,1,21/22,56,25,1.9724847070026235
0,1.08,0,21/22,56,25,-0.5587046696130118
0,1.8076923076923077,1,21/22,57,26,2.1500115637335844
0,1.875,0,21/22,57,8,2.40055349863615
0,0.8518518518518519,1,21/22,56,27,-1.4079490356234867
0,1.7307692307692308,0,21/22,56,26,1.863677923844938
0,1.4,1,21/22,56,25,0.6324432723237572
0,1.24,0,21/22,56,25,0.03686930135537271
0,0.6956521739130435,1,21/22,57,23,-1.98937692596098
0,1.16,0,21/22,57,25,-0.26091768412881994
0,0.9583333333333334,1,21/22,57,24,-1.0115890433702213
0,1.24,0,21/22,57,25,0.03686930135537271
0,0.6296296296296297,1,21/22,57,27,-2.23513510641291
1,1.04,0,21/22,57,25,-0.7075981623551081
0,1.32,1,21/22,57,25,0.3346562868395654
0,1.2692307692307692,0,21/22,57,26,0.14567608451305816
0,1.1538461538461537,1,21/22,56,26,-0.2838243753199118
1,1.0769230769230769,0,21/22,56,26,-0.5701580152085581
0,1.3333333333333333,1,21/22,56,9,0.3842874510869303
0,1.0384615384615385,0,21/22,56,26,-0.7133248351528809
0,1.0,1,21/22,56,26,-0.8564916550972045
0,1.1538461538461537,0,21/22,56,26,-0.2838243753199118
0,1.3076923076923077,1,21/22,56,26,0.28884290445738176
0,0.8214285714285714,0,21/22,56,28,-1.5211947476958483
0,1.1111111111111112,1,21/22,56,27,-0.4428986197024926
0,1.3461538461538463,0,21/22,56,26,0.4320097244017054
0,1.1851851851851851,1,21/22,56,27,-0.16716992943935194
0,1.1111111111111112,0,21/22,56,27,-0.4428986197024926
0,1.1851851851851851,1,21/22,56,27,-0.16716992943935194
0,1.1111111111111112,0,21/22,56,27,-0.4428986197024926
0,1.7407407407407407,1,21/22,56,27,1.9007952475342065
0,1.4,0,21/22,56,10,0.6324432723237572
0,1.1153846153846154,1,21/22,57,26,-0.4269911952642345
0,0.6071428571428571,0,21/22,57,28,-2.318838458814221
