match_id,tournament_id,season,match_date,home_team,away_team,overall_home,overall_away,non_penalty_non_own_goal_home,non_penalty_non_own_goal_away,penalty_goal_home,penalty_goal_away,penalty_awarded_home,penalty_awarded_away,penalty_missed_home,penalty_missed_away,own_goal_home,own_goal_away,usable_for_components,quarantine_reason,referee,referee_name,referee_id,referee_present,sofascore_referee_present
8824187,56,20/21,2020-12-12T15:00:00+00:00,forfar-athletic,partick-thistle,0,2,0,2,0,0,0,0,0,0,0,0,true,,Gavin Ross,Gavin Ross,ep76888edvvweefbdirvpfmj9,true,false
8824190,56,20/21,2020-12-12T15:00:00+00:00,dumbarton,cove-rangers,1,0,1,0,0,0,0,0,0,0,0,0,true,,Greg Aitken,Greg Aitken,8bwao9nwgzzu4fabl4i97dhhx,true,false
8824199,57,20/21,2020-12-12T15:00:00+00:00,stirling-albion,cowdenbeath,1,0,1,0,0,0,0,0,0,0,0,0,true,,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,true,false
8824203,57,20/21,2020-12-12T15:00:00+00:00,stenhousemuir,stranraer,2,2,2,1,0,1,0,1,0,0,0,0,true,,Dan McFarlane,Dan McFarlane,ce99qkhcskrwsmvjxire8u1d6,true,false
8824152,56,20/21,2020-12-19T15:00:00+00:00,cove-rangers,clyde-fc,2,3,2,1,0,1,0,1,0,0,0,0,false,component_total_mismatch,David Dickinson,David Dickinson,bsgoa7pyamnu6flsgyt6eut3p,true,false
8824157,57,20/21,2020-12-19T15:00:00+00:00,edinburgh-city-fc,stirling-albion,2,3,2,3,0,0,0,0,0,0,0,0,true,,Duncan Williams,Duncan Williams,mgxw0j6cj0x17rvdlc964pn9,true,false
8824166,56,20/21,2020-12-19T15:00:00+00:00,partick-thistle,peterhead,0,1,0,1,0,0,0,0,0,0,0,0,true,,Kevin Graham,Kevin Graham,6sdr8stbqiaqo6uahg2yd5cr9,true,false
8824172,57,20/21,2020-12-19T15:00:00+00:00,cowdenbeath,brechin-city,2,0,2,0,0,0,0,0,0,0,0,0,true,,Barry Cook,Barry Cook,jk80yb2y248j814k94zqvrv9,true,false
8824182,57,20/21,2020-12-19T15:00:00+00:00,annan-athletic,queens-park-fc,1,2,0,2,1,0,1,0,0,0,0,0,true,,Lorraine Watson,Lorraine Watson,35t8tzl9dfc9dsno4y3ezmc8a,true,false
8824188,56,20/21,2020-12-19T15:00:00+00:00,montrose,dumbarton,4,0,4,0,0,0,0,0,0,0,0,0,true,,Matthew McDermid,Matthew McDermid,ef201gyzs03xy93ixiul2ums5,true,false
