fold,site,mean,sd,q05,q50,q95,p_positive,prior_mean,prior_sd,prior_p_positive,contraction,p_below_0p02,prior_p_below_0p02
20,turf_asym.w,0.05252339029332811,0.040746232630073716,-0.013821429274155443,0.052113578584607176,0.12022853497262913,0.90575,0.05,0.05,0.841344746068543,0.1850753473985257,NaN,NaN
20,ha.γ_base,0.13296778492331532,0.030895456399698904,0.0823075695554102,0.13320288360453447,0.18421776536001994,1.0,0.15,0.05,0.9986501019683699,0.382090872006022,NaN,NaN
20,ha.σ_γ,0.037109241613660256,0.02643341319131674,0.0027211528521217283,0.032828866984005306,0.08512344943114468,1.0,0.03989422804014327,0.030140513749454357,1.0,0.12299394061273183,0.31475,0.31084348322064836
21,turf_asym.w,0.05361950956445867,0.0414708208716,-0.015824302740919987,0.05323941903206461,0.12174503157819386,0.90075,0.05,0.05,0.841344746068543,0.1705835825680001,NaN,NaN
21,ha.γ_base,0.14274353397570003,0.031046586210163075,0.09110191587994203,0.1425606183699893,0.19439741781812706,1.0,0.15,0.05,0.9986501019683699,0.3790682757967385,NaN,NaN
21,ha.σ_γ,0.03646451446216701,0.02570513429360832,0.0031028594326105627,0.032282854201146016,0.08472720905712013,1.0,0.03989422804014327,0.030140513749454357,1.0,0.1471567303966852,0.322,0.31084348322064836
22,turf_asym.w,0.053748165196389766,0.04287870004313776,-0.01783509750056472,0.05473810237522486,0.12220113331220933,0.88725,0.05,0.05,0.841344746068543,0.14242599913724474,NaN,NaN
22,ha.γ_base,0.13565560188750952,0.032734302716476586,0.08207075788681084,0.13543080363912216,0.18904782115730073,1.0,0.15,0.05,0.9986501019683699,0.34531394567046836,NaN,NaN
22,ha.σ_γ,0.03303755704933832,0.024619972344223206,0.0028040823019150154,0.0284307616884567,0.08002354007134223,1.0,0.03989422804014327,0.030140513749454357,1.0,0.18316016280018088,0.36425,0.31084348322064836
23,turf_asym.w,0.07105046449752235,0.04220010456645402,0.002433620179126035,0.0711130560300359,0.14129743631275482,0.9545,0.05,0.05,0.841344746068543,0.15599790867091967,NaN,NaN
23,ha.γ_base,0.13945630210806995,0.03460281455355029,0.08292331676895993,0.13884667613252158,0.19710721995940855,1.0,0.15,0.05,0.9986501019683699,0.30794370892899425,NaN,NaN
23,ha.σ_γ,0.03480902276930638,0.025717111967509622,0.002312944912518665,0.029866412550810732,0.08381433157505186,1.0,0.03989422804014327,0.030140513749454357,1.0,0.14675933591293921,0.34025,0.31084348322064836
