fold,match_id,home_team,away_team,match_date,turf_home,turf_away,turf_asym,midweek,rest_diff,unmapped
20,12476452,east-fife,elgin-city,2025-05-03,1.0,0.0,1.0,0.0,0.0,
20,12476567,stranraer,bonnyrigg-rose,2025-05-03,0.0,0.0,0.0,0.0,0.0,
20,12476453,clyde-fc,peterhead,2025-05-03,1.0,0.0,1.0,0.0,0.0,
20,12476575,forfar-athletic,stirling-albion,2025-05-03,1.0,0.0,1.0,0.0,0.0,
20,12476570,the-spartans-fc,edinburgh-city-fc,2025-05-03,1.0,1.0,0.0,0.0,0.0,
21,14035482,cove-rangers,queen-of-the-south,2025-08-02,1.0,1.0,0.0,0.0,0.0,
21,14035495,kelty-hearts-fc,inverness-caledonian-thistle,2025-08-02,1.0,0.0,1.0,0.0,0.0,
21,14035487,peterhead,east-fife,2025-08-02,0.0,1.0,0.0,0.0,0.0,
21,14035486,hamilton-academical,montrose,2025-08-02,1.0,1.0,0.0,0.0,0.0,
21,14343735,stenhousemuir,alloa-athletic,2025-08-02,1.0,1.0,0.0,0.0,0.0,
21,14035506,stenhousemuir,cove-rangers,2025-08-09,1.0,1.0,0.0,0.0,0.0,
21,14035498,inverness-caledonian-thistle,peterhead,2025-08-09,0.0,0.0,0.0,0.0,0.0,
21,14035502,queen-of-the-south,hamilton-academical,2025-08-09,1.0,1.0,0.0,0.0,0.0,
21,14035497,east-fife,alloa-athletic,2025-08-09,1.0,1.0,0.0,0.0,0.0,
21,14035501,montrose,kelty-hearts-fc,2025-08-09,1.0,1.0,0.0,0.0,0.0,
21,14035665,forfar-athletic,stranraer,2025-08-02,1.0,0.0,1.0,0.0,0.0,
21,14035666,edinburgh-city-fc,stirling-albion,2025-08-02,1.0,0.0,1.0,0.0,0.0,
21,14035662,annan-athletic,elgin-city,2025-08-02,1.0,0.0,1.0,0.0,0.0,
21,14035664,dumbarton,clyde-fc,2025-08-02,0.0,1.0,0.0,0.0,0.0,
21,14035663,east-kilbride,the-spartans-fc,2025-08-02,1.0,1.0,0.0,0.0,0.0,
21,14035669,stirling-albion,annan-athletic,2025-08-09,0.0,1.0,0.0,0.0,0.0,
21,14035667,clyde-fc,forfar-athletic,2025-08-09,1.0,1.0,0.0,0.0,0.0,
21,14035671,stranraer,edinburgh-city-fc,2025-08-09,0.0,1.0,0.0,0.0,0.0,
21,14035670,the-spartans-fc,dumbarton,2025-08-09,1.0,0.0,1.0,0.0,0.0,
21,14035668,elgin-city,east-kilbride,2025-08-09,0.0,1.0,0.0,0.0,0.0,
22,14035484,hamilton-academical,east-fife,2025-08-16,1.0,1.0,0.0,0.0,0.0,
22,14035485,cove-rangers,montrose,2025-08-16,1.0,1.0,0.0,0.0,0.0,
22,14035488,inverness-caledonian-thistle,stenhousemuir,2025-08-16,0.0,1.0,0.0,0.0,0.0,
22,14035489,queen-of-the-south,peterhead,2025-08-16,1.0,0.0,1.0,0.0,0.0,
22,14035494,east-fife,kelty-hearts-fc,2025-08-23,1.0,1.0,0.0,0.0,-7.0,
22,14035493,peterhead,cove-rangers,2025-08-23,0.0,1.0,0.0,0.0,0.0,
22,14035496,montrose,inverness-caledonian-thistle,2025-08-23,1.0,0.0,1.0,0.0,0.0,
22,14035492,alloa-athletic,hamilton-academical,2025-08-23,1.0,1.0,0.0,0.0,7.0,
22,14035491,stenhousemuir,queen-of-the-south,2025-08-23,1.0,1.0,0.0,0.0,0.0,
22,14035675,edinburgh-city-fc,annan-athletic,2025-08-16,1.0,1.0,0.0,0.0,0.0,
22,14035672,dumbarton,elgin-city,2025-08-16,0.0,0.0,0.0,0.0,0.0,
22,14035674,forfar-athletic,stirling-albion,2025-08-16,1.0,0.0,1.0,0.0,0.0,
22,14035676,clyde-fc,the-spartans-fc,2025-08-16,1.0,1.0,0.0,0.0,0.0,
22,14035673,east-kilbride,stranraer,2025-08-16,1.0,0.0,1.0,0.0,0.0,
22,14035678,elgin-city,edinburgh-city-fc,2025-08-23,0.0,1.0,0.0,0.0,0.0,
22,14035683,the-spartans-fc,forfar-athletic,2025-08-23,1.0,1.0,0.0,0.0,0.0,
22,14035681,stirling-albion,east-kilbride,2025-08-23,0.0,1.0,0.0,0.0,0.0,
22,14035679,stranraer,clyde-fc,2025-08-23,0.0,1.0,0.0,0.0,0.0,
22,14035677,annan-athletic,dumbarton,2025-08-23,1.0,0.0,1.0,0.0,0.0,
23,14035503,queen-of-the-south,kelty-hearts-fc,2025-08-30,1.0,1.0,0.0,0.0,0.0,
23,14035505,montrose,peterhead,2025-08-30,1.0,0.0,1.0,0.0,0.0,
23,14035500,inverness-caledonian-thistle,alloa-athletic,2025-08-30,0.0,1.0,0.0,0.0,0.0,
23,14035504,stenhousemuir,east-fife,2025-08-30,1.0,1.0,0.0,0.0,0.0,
23,14035499,hamilton-academical,cove-rangers,2025-08-30,1.0,1.0,0.0,0.0,0.0,
23,14035680,dumbarton,edinburgh-city-fc,2025-08-30,0.0,1.0,0.0,0.0,0.0,
23,14035682,clyde-fc,elgin-city,2025-08-30,1.0,0.0,1.0,0.0,0.0,
23,14035686,the-spartans-fc,annan-athletic,2025-08-30,1.0,1.0,0.0,0.0,0.0,
23,14035684,east-kilbride,forfar-athletic,2025-08-30,1.0,1.0,0.0,0.0,0.0,
23,14035685,stirling-albion,stranraer,2025-08-30,0.0,0.0,0.0,0.0,0.0,
24,14035511,peterhead,hamilton-academical,2025-09-13,0.0,1.0,0.0,0.0,0.0,
24,14035510,kelty-hearts-fc,stenhousemuir,2025-09-13,1.0,1.0,0.0,0.0,0.0,
24,14035509,east-fife,queen-of-the-south,2025-09-13,1.0,1.0,0.0,0.0,0.0,
24,14035508,alloa-athletic,montrose,2025-09-13,1.0,1.0,0.0,0.0,0.0,
24,14035507,cove-rangers,inverness-caledonian-thistle,2025-09-13,1.0,0.0,1.0,0.0,0.0,
24,14035514,queen-of-the-south,inverness-caledonian-thistle,2025-09-20,1.0,0.0,1.0,0.0,0.0,
24,14035515,kelty-hearts-fc,hamilton-academical,2025-09-20,1.0,1.0,0.0,0.0,0.0,
24,14035512,alloa-athletic,cove-rangers,2025-09-20,1.0,1.0,0.0,0.0,0.0,
24,14035513,east-fife,montrose,2025-09-20,1.0,1.0,0.0,0.0,0.0,
24,14035516,stenhousemuir,peterhead,2025-09-20,1.0,0.0,1.0,0.0,0.0,
24,14035687,edinburgh-city-fc,east-kilbride,2025-09-13,1.0,1.0,0.0,0.0,0.0,
24,14035695,forfar-athletic,dumbarton,2025-09-13,1.0,0.0,1.0,0.0,0.0,
24,14035689,annan-athletic,clyde-fc,2025-09-13,1.0,1.0,0.0,0.0,0.0,
24,14035692,elgin-city,stirling-albion,2025-09-13,0.0,0.0,0.0,0.0,0.0,
24,14035688,stranraer,the-spartans-fc,2025-09-13,0.0,1.0,0.0,0.0,0.0,
24,14035694,east-kilbride,dumbarton,2025-09-20,1.0,0.0,1.0,0.0,0.0,
24,14035690,forfar-athletic,annan-athletic,2025-09-20,1.0,1.0,0.0,0.0,0.0,
24,14035693,the-spartans-fc,stirling-albion,2025-09-20,1.0,0.0,1.0,0.0,0.0,
24,14035691,clyde-fc,edinburgh-city-fc,2025-09-20,1.0,1.0,0.0,0.0,0.0,
24,14035697,stranraer,elgin-city,2025-09-20,0.0,0.0,0.0,0.0,0.0,
25,14035517,cove-rangers,kelty-hearts-fc,2025-09-27,1.0,1.0,0.0,0.0,0.0,
25,14035518,hamilton-academical,stenhousemuir,2025-09-27,1.0,1.0,0.0,0.0,0.0,
25,14035519,inverness-caledonian-thistle,east-fife,2025-09-27,0.0,1.0,0.0,0.0,0.0,
25,14035521,peterhead,alloa-athletic,2025-09-27,0.0,1.0,0.0,0.0,0.0,
25,14035520,montrose,queen-of-the-south,2025-09-27,1.0,1.0,0.0,0.0,0.0,
25,14035524,east-fife,cove-rangers,2025-10-04,1.0,1.0,0.0,0.0,0.0,
25,14035522,hamilton-academical,inverness-caledonian-thistle,2025-10-04,1.0,0.0,1.0,0.0,0.0,
25,14035526,kelty-hearts-fc,peterhead,2025-10-04,1.0,0.0,1.0,0.0,0.0,
25,14035525,stenhousemuir,montrose,2025-10-04,1.0,1.0,0.0,0.0,0.0,
25,14035523,queen-of-the-south,alloa-athletic,2025-10-04,1.0,1.0,0.0,0.0,0.0,
25,14035700,elgin-city,the-spartans-fc,2025-09-27,0.0,1.0,0.0,0.0,0.0,
25,14035703,annan-athletic,east-kilbride,2025-09-27,1.0,1.0,0.0,0.0,0.0,
25,14035698,dumbarton,stranraer,2025-09-27,0.0,0.0,0.0,0.0,0.0,
25,14035696,edinburgh-city-fc,forfar-athletic,2025-09-27,1.0,1.0,0.0,0.0,0.0,
25,14035699,stirling-albion,clyde-fc,2025-09-27,0.0,1.0,0.0,0.0,0.0,
25,14035706,the-spartans-fc,edinburgh-city-fc,2025-10-04,1.0,1.0,0.0,0.0,0.0,
25,14035704,stirling-albion,dumbarton,2025-10-04,0.0,0.0,0.0,0.0,0.0,
25,14035702,clyde-fc,east-kilbride,2025-10-04,1.0,1.0,0.0,0.0,0.0,
25,14035701,elgin-city,forfar-athletic,2025-10-04,0.0,1.0,0.0,0.0,0.0,
25,14035705,stranraer,annan-athletic,2025-10-04,0.0,1.0,0.0,0.0,0.0,
26,14501655,kelty-hearts-fc,alloa-athletic,2025-10-07,1.0,1.0,0.0,1.0,0.0,
26,14035529,inverness-caledonian-thistle,kelty-hearts-fc,2025-10-18,0.0,1.0,0.0,0.0,3.0,
