window,spec,team,fs,season,cat,n,a,d,theta,old_firm
primary,main σc=1.0 σs=0.20,cowdenbeath,2024,24/25,T5,6,-0.18959873613603076,-0.08978692591451479,-0.09981181022151597,false
primary,main σc=1.0 σs=0.20,cowdenbeath,2025,25/26,T5,1,-0.3677729564316648,-0.09400469528490607,-0.27376826114675873,false
primary,main σc=1.0 σs=0.20,cowdenbeath,2026,26/27,T5,4,-0.3970462990047888,-0.1382673540059297,-0.2587789449988591,false
primary,main σc=1.0 σs=0.20,culter,2023,23/24,T5,1,0.23389384695005053,0.5491325525393096,-0.31523870558925904,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2021,21/22,T5,2,-0.8336205131359727,0.31259418361601615,-1.1462146967519888,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2022,22/23,T5,1,-0.9088046796080202,0.28427613775198435,-1.1930808173600047,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2023,23/24,T5,1,-0.8382101926900616,0.2993419637756306,-1.1375521564656923,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2024,24/25,T5,1,-0.8959410354578595,0.3342637733283854,-1.230204808786245,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2025,25/26,T5,2,-0.8063588691653802,0.24511194739501752,-1.0514708165603976,false
primary,main σc=1.0 σs=0.20,cumbernauld-colts-fc,2026,26/27,T5,4,-0.8920337428738833,0.2260361201875906,-1.1180698630614738,false
primary,main σc=1.0 σs=0.20,cumnock,2021,21/22,T5,2,-0.16475795089940604,0.46975740937134003,-0.6345153602707461,false
primary,main σc=1.0 σs=0.20,cumnock,2022,22/23,T5,2,-0.17445302087124248,0.393357743179793,-0.5678107640510355,false
primary,main σc=1.0 σs=0.20,cumnock,2023,23/24,T5,3,-0.22729097168317153,0.349009784035821,-0.5763007557189925,false
primary,main σc=1.0 σs=0.20,cumnock,2024,24/25,T5,1,-0.16309687623845426,0.3794046786564122,-0.5425015548948664,false
primary,main σc=1.0 σs=0.20,cumnock,2025,25/26,T5,1,-0.16591446354896544,0.35213614613078575,-0.5180506096797513,false
primary,main σc=1.0 σs=0.20,cupar-hearts-fc,2024,24/25,T5,1,0.05882481951112609,0.8343960472918949,-0.7755712277807688,false
primary,main σc=1.0 σs=0.20,dalbeattie-star-fc,2021,21/22,T5,5,-0.7005417151834112,0.47543579631562516,-1.1759775114990365,false
primary,main σc=1.0 σs=0.20,dalbeattie-star-fc,2022,22/23,T5,2,-0.6672159801226527,0.6467201025017216,-1.3139360826243744,false
primary,main σc=1.0 σs=0.20,dalbeattie-star-fc,2023,23/24,T5,1,-0.7030464294052051,0.6413732629958837,-1.3444196924010887,false
primary,main σc=1.0 σs=0.20,dalkeith-thistle-fc,2021,21/22,T5,1,-1.1388338110039649,1.124599938514275,-2.26343374951824,false
primary,main σc=1.0 σs=0.20,dalkeith-thistle-fc,2023,23/24,T5,1,-1.1419993629881229,1.1586437458306629,-2.300643108818786,false
primary,main σc=1.0 σs=0.20,dalkeith-thistle-fc,2024,24/25,T5,1,-1.1475772778749014,1.1430290542738855,-2.290606332148787,false
primary,main σc=1.0 σs=0.20,darvel-fc,2021,21/22,T5,5,0.12393457647701353,-0.14636900908057773,0.27030358555759126,false
primary,main σc=1.0 σs=0.20,darvel-fc,2022,22/23,T5,5,0.43101892102461337,-0.1480718335363988,0.5790907545610122,false
primary,main σc=1.0 σs=0.20,darvel-fc,2023,23/24,T5,1,0.14368577266739907,-0.05595468139249269,0.19964045405989175,false
primary,main σc=1.0 σs=0.20,darvel-fc,2024,24/25,T5,1,0.14258785159116233,-0.15777216003452638,0.3003600116256887,false
primary,main σc=1.0 σs=0.20,darvel-fc,2025,25/26,T5,1,0.14007828305075423,-0.050145485238504615,0.19022376828925885,false
primary,main σc=1.0 σs=0.20,deveronvale-fc,2021,21/22,T5,2,0.06881120171831243,0.3089990127018668,-0.24018781098355438,false
primary,main σc=1.0 σs=0.20,deveronvale-fc,2022,22/23,T5,1,0.09875561491226666,0.34584946046099774,-0.2470938455487311,false
