fs,team_id,team,tier,league_fixtures
2023,2365,ross-county,1,35
2023,2348,st-johnstone,1,36
2023,2359,st-mirren,1,35
2023,2367,airdrieonians,2,39
2023,2366,arbroath,2,40
2023,2364,ayr-united,2,38
2023,2349,dundee-united,2,37
2023,2350,dunfermline-athletic,2,41
2023,2374,greenock-morton,2,39
2023,2362,inverness-caledonian-thistle,2,38
2023,2358,partick-thistle,2,37
2023,2379,queens-park-fc,2,38
2023,2361,raith-rovers,2,39
2023,2369,alloa-athletic,3,38
2023,23955,annan-athletic,3,38
2023,8062,cove-rangers,3,39
2023,26252,edinburgh-city-fc,3,38
2023,2363,falkirk-fc,3,41
2023,2376,hamilton-academical,3,39
2023,206633,kelty-hearts-fc,3,38
2023,2386,montrose,3,42
2023,2368,queen-of-the-south,3,36
2023,2384,stirling-albion,3,41
2023,76341,bonnyrigg-rose,4,40
2023,2360,clyde-fc,4,38
2023,2377,dumbarton,4,39
2023,2382,east-fife,4,38
2023,2380,elgin-city,4,40
2023,2375,forfar-athletic,4,38
2023,2385,peterhead,4,39
2023,2370,stenhousemuir,4,38
2023,2371,stranraer,4,37
2023,2393,the-spartans-fc,4,39
2024,2355,aberdeen,1,34
2024,2352,celtic,1,35
2024,2357,dundee-fc,1,36
2024,2349,dundee-united,1,33
2024,2353,heart-of-midlothian,1,33
2024,2354,hibernian,1,34
2024,2347,kilmarnock,1,33
2024,2346,motherwell,1,33
2024,2351,rangers,1,34
2024,2365,ross-county,1,33
2024,2348,st-johnstone,1,33
2024,2359,st-mirren,1,33
2024,2367,airdrieonians,2,39
2024,2364,ayr-united,2,37
2024,2350,dunfermline-athletic,2,37
2024,2363,falkirk-fc,2,38
2024,2374,greenock-morton,2,39
2024,2376,hamilton-academical,2,38
2024,2356,livingston,2,39
2024,2358,partick-thistle,2,38
2024,2379,queens-park-fc,2,39
2024,2361,raith-rovers,2,38
2024,2369,alloa-athletic,3,37
2024,23955,annan-athletic,3,37
2024,2366,arbroath,3,39
2024,8062,cove-rangers,3,39
2024,2377,dumbarton,3,38
2024,2362,inverness-caledonian-thistle,3,39
2024,206633,kelty-hearts-fc,3,39
2024,2386,montrose,3,37
2024,2368,queen-of-the-south,3,37
2024,2370,stenhousemuir,3,38
2024,76341,bonnyrigg-rose,4,40
2024,2360,clyde-fc,4,37
2024,2382,east-fife,4,37
2024,26252,edinburgh-city-fc,4,38
2024,2380,elgin-city,4,40
2024,2375,forfar-athletic,4,39
2024,2385,peterhead,4,38
2024,2384,stirling-albion,4,38
2024,2371,stranraer,4,41
2024,2393,the-spartans-fc,4,42
2025,2355,aberdeen,1,36
2025,2352,celtic,1,36
2025,2357,dundee-fc,1,34
2025,2349,dundee-united,1,36
2025,2363,falkirk-fc,1,35
2025,2353,heart-of-midlothian,1,34
2025,2354,hibernian,1,35
2025,2347,kilmarnock,1,33
2025,2356,livingston,1,35
2025,2346,motherwell,1,35
2025,2351,rangers,1,34
2025,2359,st-mirren,1,37
2025,2367,airdrieonians,2,37
2025,2366,arbroath,2,36
2025,2364,ayr-united,2,37
2025,2350,dunfermline-athletic,2,39
2025,2374,greenock-morton,2,36
2025,2358,partick-thistle,2,37
2025,2379,queens-park-fc,2,37
2025,2361,raith-rovers,2,38
2025,2365,ross-county,2,36
2025,2348,st-johnstone,2,37
2025,2369,alloa-athletic,3,40
2025,8062,cove-rangers,3,38
2025,2382,east-fife,3,38
2025,2376,hamilton-academical,3,39
2025,2362,inverness-caledonian-thistle,3,41
2025,206633,kelty-hearts-fc,3,38
2025,2386,montrose,3,41
2025,2385,peterhead,3,42
2025,2368,queen-of-the-south,3,36
2025,2370,stenhousemuir,3,37
2025,23955,annan-athletic,4,39
2025,2360,clyde-fc,4,41
2025,2377,dumbarton,4,39
2025,170622,east-kilbride,4,38
2025,26252,edinburgh-city-fc,4,37
2025,2380,elgin-city,4,41
2025,2375,forfar-athletic,4,39
2025,2384,stirling-albion,4,39
2025,2371,stranraer,4,39
2025,2393,the-spartans-fc,4,40
2026,2355,aberdeen,1,34
2026,2352,celtic,1,34
2026,2357,dundee-fc,1,34
2026,2349,dundee-united,1,33
2026,2363,falkirk-fc,1,34
2026,2353,heart-of-midlothian,1,34
2026,2354,hibernian,1,35
2026,2347,kilmarnock,1,34
2026,2346,motherwell,1,34
2026,2351,rangers,1,34
2026,2348,st-johnstone,1,34
2026,2359,st-mirren,1,34
2026,2366,arbroath,2,36
2026,2364,ayr-united,2,36
2026,2350,dunfermline-athletic,2,38
2026,2374,greenock-morton,2,36
2026,2362,inverness-caledonian-thistle,2,37
2026,2356,livingston,2,36
2026,2358,partick-thistle,2,37
2026,2379,queens-park-fc,2,37
2026,2361,raith-rovers,2,36
2026,2370,stenhousemuir,2,37
2026,2367,airdrieonians,3,36
2026,2369,alloa-athletic,3,36
2026,8062,cove-rangers,3,36
2026,2382,east-fife,3,36
2026,170622,east-kilbride,3,36
2026,2376,hamilton-academical,3,37
2026,2386,montrose,3,36
2026,2385,peterhead,3,36
2026,2368,queen-of-the-south,3,37
2026,2365,ross-county,3,38
2026,23955,annan-athletic,4,36
2026,2360,clyde-fc,4,36
2026,2377,dumbarton,4,36
2026,26252,edinburgh-city-fc,4,36
2026,2380,elgin-city,4,36
2026,2375,forfar-athletic,4,36
2026,206633,kelty-hearts-fc,4,36
2026,2384,stirling-albion,4,36
2026,2371,stranraer,4,36
2026,2393,the-spartans-fc,4,36
