team,mean,sd,q05,q50,q95,p_above_base,fold
bonnyrigg-rose,0.12671302195725717,0.06533374740396403,0.022539830284726392,0.1256223705394496,0.23328357685649803,0.50925,7
dunfermline-athletic,0.12501541531720614,0.07452068637089336,0.007322538373074457,0.12546846420759997,0.24427801740672486,0.5145,7
albion-rovers,0.12387078232435766,0.07360658138727869,0.0056326534201270664,0.12353219506040514,0.2433345423068488,0.498,7
falkirk-fc,0.12238953493746155,0.06884545861588795,0.012974943732172051,0.1244774656270312,0.2312406715613228,0.4835,7
stranraer,0.12214045909725292,0.06502792774115908,0.014846564125798102,0.12257075495400638,0.2290399873554588,0.48775,7
stirling-albion,0.12008633317387074,0.06533307300830443,0.013410070055927448,0.12219400003965557,0.2244030087387403,0.4655,7
forfar-athletic,0.11794284852926408,0.06592127660303289,0.010218125203844195,0.12004535688782589,0.22116853390511176,0.449,7
stenhousemuir,0.11388955480598148,0.0671062756099431,0.0021197223778675637,0.11695783971218551,0.21782374790145262,0.445,7
clyde-fc,0.10696266127481724,0.06698916624880484,-0.010273778644931085,0.11021013189912257,0.2070413626282095,0.38825,7
inverness-caledonian-thistle,0.10479774446634937,0.07374498287526385,-0.026146206026621346,0.11014509300811465,0.21291660316524116,0.393,7
the-spartans-fc,0.10250680558021708,0.07027072511168692,-0.024721283670128002,0.10749262154969635,0.20711947827940957,0.35875,7
kelty-hearts-fc,0.10159919381640568,0.0711564321279322,-0.0256694188278146,0.10813763323592923,0.20296243285364501,0.35475,7
alloa-athletic,0.10132893990656675,0.06973193812356941,-0.020829791213702924,0.1084717713811952,0.20004799337214463,0.35675,7
arbroath,0.10132757951675397,0.07149346373815739,-0.025572135259727083,0.10826092589707859,0.2040753446342414,0.3545,7
annan-athletic,0.14795215760163585,0.06670952602451401,0.05145840115597666,0.14184032147110817,0.26869616638967986,0.6615,8
peterhead,0.14475627981813186,0.06465982687877823,0.04885583370837672,0.14026025072174936,0.25676562405509423,0.6435,8
montrose,0.1345979942596519,0.06235627143679264,0.0375185953183924,0.1328232463858795,0.23715037823104632,0.57825,8
elgin-city,0.13380365203285363,0.0632382371231345,0.036293652259286845,0.13072077131950405,0.23956501988728363,0.568,8
cove-rangers,0.1319283439934268,0.06265889305172385,0.0363605306914635,0.12840341384248594,0.23739555791454284,0.55375,8
edinburgh-city-fc,0.13175850568680905,0.06142754298021412,0.03713614410111217,0.12998770989072408,0.23459886501681765,0.54575,8
queen-of-the-south,0.130693276041904,0.06295495834374491,0.03128728592438457,0.12831126519270547,0.23597980974112862,0.54275,8
east-fife,0.13009399157541757,0.061185018336215036,0.03388485458723548,0.1297354036908249,0.23184318548383975,0.5345,8
airdrieonians,0.12946325542395914,0.06773287192389868,0.023639951076670166,0.12830099351757535,0.24246468939882806,0.5275,8
dumbarton,0.12767973329377835,0.06175019190523133,0.02971896993066211,0.12696396020111209,0.22693042406072467,0.52875,8
bonnyrigg-rose,0.12644235165809878,0.06380803534565092,0.026068069814396518,0.12515475967582795,0.23189852708473147,0.51025,8
dunfermline-athletic,0.1258102019338984,0.06959185277965328,0.01458195450546393,0.12476589821912934,0.23660716435747584,0.51475,8
hamilton-academical,0.1255202348316592,0.06424450188142347,0.021654671264119532,0.12481459594606291,0.22959359737160565,0.5075,8
stranraer,0.12479316504409656,0.06229739051406487,0.023537632900660594,0.12426618479872285,0.22781076126470753,0.49525,8
