team,mean,sd,q05,q50,q95,p_above_base,model,fold
kelty-hearts-fc,-0.024972316430623896,0.09951556714869697,-0.19603019808941552,-0.018820304587657183,0.12628396962418348,0.05425,m12_joint_hybrid_synergy_grw_hier_ha,1
airdrieonians,0.2582666449235741,0.12099655461452065,0.09110286788957897,0.24741072774582978,0.48162632681082995,0.89225,m12_joint_hybrid_synergy_grw_hier_ha,2
stranraer,0.23401766830841053,0.09080149652311661,0.10002938603393895,0.22734924538410245,0.39381740285971806,0.90075,m12_joint_hybrid_synergy_grw_hier_ha,2
annan-athletic,0.22137826844127317,0.08460263677797401,0.09476272214747485,0.21666634704829352,0.3710240532462459,0.888,m12_joint_hybrid_synergy_grw_hier_ha,2
stirling-albion,0.20514523303181983,0.08469934011218132,0.0778950802876524,0.20017783531338829,0.3538348210334186,0.848,m12_joint_hybrid_synergy_grw_hier_ha,2
queen-of-the-south,0.18190533787351393,0.07977782213895954,0.06078203223890725,0.17691679419995543,0.32059677978219603,0.76775,m12_joint_hybrid_synergy_grw_hier_ha,2
elgin-city,0.1723945515388556,0.07767636172365688,0.051754212911295526,0.1675448926297719,0.30779774943800714,0.7345,m12_joint_hybrid_synergy_grw_hier_ha,2
forfar-athletic,0.14528075285121694,0.07962626994296079,0.01903873294794285,0.14173472268379855,0.2810906003780311,0.5995,m12_joint_hybrid_synergy_grw_hier_ha,2
bonnyrigg-rose,0.13859689228503147,0.07441596264897121,0.01902096973012732,0.13745551030173198,0.26298697286757006,0.56875,m12_joint_hybrid_synergy_grw_hier_ha,2
montrose,0.13685626485509117,0.07957175948421047,0.010584023045766668,0.13372757205439068,0.271869509904263,0.55725,m12_joint_hybrid_synergy_grw_hier_ha,2
inverness-caledonian-thistle,0.1342512060685471,0.11103044901350875,-0.04435834884110202,0.1330268548776097,0.324314989385016,0.531,m12_joint_hybrid_synergy_grw_hier_ha,2
dunfermline-athletic,0.1320851327101616,0.09702402040450955,-0.027277991453187433,0.12941819119155712,0.29673826074413834,0.527,m12_joint_hybrid_synergy_grw_hier_ha,2
dumbarton,0.123558515795299,0.07518827351762808,-0.0016955704189638744,0.12355273619398024,0.24806820265185742,0.4935,m12_joint_hybrid_synergy_grw_hier_ha,2
arbroath,0.11931571095905767,0.11155988761910383,-0.06540465360816398,0.12118484551236772,0.29908733054005415,0.47875,m12_joint_hybrid_synergy_grw_hier_ha,2
cove-rangers,0.11483820048637408,0.08363216252835722,-0.022455491564103345,0.11574575301732835,0.2522472361371101,0.449,m12_joint_hybrid_synergy_grw_hier_ha,2
edinburgh-city-fc,0.1129868412809948,0.08013568221412626,-0.019933342788186426,0.11336663464421948,0.24341018418225288,0.43625,m12_joint_hybrid_synergy_grw_hier_ha,2
stenhousemuir,0.10786848596639595,0.07854344604435552,-0.02280559468756656,0.10913817314491187,0.23099374536035402,0.4185,m12_joint_hybrid_synergy_grw_hier_ha,2
falkirk-fc,0.10144227518944209,0.07386384511389411,-0.02469623207132231,0.10411218809731336,0.21787189363224777,0.38425,m12_joint_hybrid_synergy_grw_hier_ha,2
peterhead,0.10103422000838563,0.07769023711471545,-0.03258795971325019,0.10402245024164883,0.22699662995813036,0.3855,m12_joint_hybrid_synergy_grw_hier_ha,2
hamilton-academical,0.08355743747895437,0.08559162633365792,-0.06522023867827836,0.08867312672376515,0.21682479296114254,0.31125,m12_joint_hybrid_synergy_grw_hier_ha,2
albion-rovers,0.0733449969037436,0.10262931640192188,-0.10769210260679855,0.08250138891647343,0.2272456153522632,0.30775,m12_joint_hybrid_synergy_grw_hier_ha,2
alloa-athletic,0.06118917366631671,0.08141800685746724,-0.08000535304526997,0.06683867526793838,0.18523325727476428,0.22225,m12_joint_hybrid_synergy_grw_hier_ha,2
clyde-fc,0.05966394330161874,0.08430692277236602,-0.0863114475343609,0.06556549599808234,0.18970515057291473,0.207,m12_joint_hybrid_synergy_grw_hier_ha,2
east-fife,0.0577430664685796,0.08536071190900514,-0.08864575772278403,0.06225355594564638,0.18709187022708793,0.214,m12_joint_hybrid_synergy_grw_hier_ha,2
kelty-hearts-fc,0.011876949845810763,0.09276054295270478,-0.15293593435938205,0.020007845807764976,0.14894341088019827,0.09175,m12_joint_hybrid_synergy_grw_hier_ha,2
the-spartans-fc,0.00033494180918805527,0.10171526514989555,-0.17991920715820212,0.00808178574332221,0.14621469630401973,0.088,m12_joint_hybrid_synergy_grw_hier_ha,2
